anchor,metric,n,mean,sd,mcse,ci_low,ci_high
S4,basin_fraction,17,0.0,0.0,0.0,0.0,0.0
S4,end_to_end_success,17,0.0,0.0,0.0,0.0,0.0
S4,r0_released,17,9.0,1.2569805089976533,0.3048625534082338,8.353720257495837,9.646279742504163
S4,d_hat_at_r_true,17,11.894117647058822,1.3511433067199488,0.3277003864089805,11.199423861353651,12.588811432763993
S4,ARI_at_r_true,17,0.012956406203109278,0.017588724093400034,0.004265892191584387,0.003913118740264003,0.021999693665954553
S4,delta,17,-175.12190964525422,289.9749547213278,70.32925688821959,-324.21327401286675,-26.030545277641693
S4,delta_over_lambda_max_Gamma_xi,17,-0.7993589159070806,0.13176940284278502,0.03195877447913922,-0.8671084912820171,-0.7316093405321442
S4,actual_spectral_radius,17,0.9202002572590088,0.03656204222918508,0.008867597764660203,0.9014017897663452,0.9389987247516723
S4,realised_offdiag_density,17,0.30039809863339273,0.00474565710264427,0.001150990911597941,0.29795810690054103,0.30283809036624443
loading_scale_negative_gap,fixed_point_indicator,20,0.5399999999999999,0.4057481718349061,0.09072804939691155,0.35010401020272297,0.7298959897972769
loading_scale_negative_gap,basin_fraction,20,0.22777777777777777,0.21985582138354065,0.04916125618626487,0.12488208603499837,0.3306734695205572
loading_scale_negative_gap,end_to_end_success,20,0.27,0.3510885328442626,0.07850578255604387,0.10568550870005558,0.4343144912999445
loading_scale_negative_gap,r0_released,20,5.68,0.6135316231716006,0.1371898415757484,5.392858361561499,5.9671416384385
loading_scale_negative_gap,d_hat_at_r_true,20,2.09,0.13726654823065196,0.030693733288049124,2.0257572779085216,2.154242722091478
loading_scale_negative_gap,ARI_at_r_true,20,0.23669641099216526,0.08674020773778952,0.019395700088415062,0.19610074415502407,0.2772920778293065
loading_scale_negative_gap,delta,20,-3.1922161054863745,2.047604076551535,0.45785819061749156,-4.150524311956628,-2.233907899016121
loading_scale_negative_gap,delta_over_lambda_max_Gamma_xi,20,-0.41947906097993914,0.11991033824494592,0.02681276675206919,-0.47559882675725806,-0.3633592952026202
loading_scale_negative_gap,actual_spectral_radius,20,0.9129335703075144,0.01761366913176346,0.00393853615118128,0.9046901194039355,0.9211770212110933
loading_scale_negative_gap,realised_offdiag_density,20,0.2938030303030303,0.004087875694243754,0.0009140767935898179,0.2918898455864704,0.29571621501959017
loading_scale_positive_gap,fixed_point_indicator,20,1.0,0.0,0.0,1.0,1.0
loading_scale_positive_gap,basin_fraction,20,0.51,0.12287967775298876,0.027476731250895146,0.45249054055536525,0.5675094594446348
loading_scale_positive_gap,end_to_end_success,20,0.1,0.24708830724853692,0.055250625145308256,-0.01564088745022421,0.21564088745022422
loading_scale_positive_gap,r0_released,20,6.23,0.536165724576391,0.11989030073582399,5.9790667166696805,6.48093328333032
loading_scale_positive_gap,d_hat_at_r_true,20,2.0700000000000003,0.14903196407411898,0.033324560249003654,2.000250893796258,2.1397491062037424
loading_scale_positive_gap,ARI_at_r_true,20,0.6605173560915588,0.04942165761541063,0.011051018598877832,0.6373873083383944,0.6836474038447232
loading_scale_positive_gap,delta,20,28.5599383603976,4.6652021938238315,1.0431709234171236,26.376556524826277,30.74332019596892
loading_scale_positive_gap,delta_over_lambda_max_Gamma_xi,20,4.224688451180542,1.079193044204512,0.2413149007686224,3.7196105591846726,4.729766343176412
loading_scale_positive_gap,actual_spectral_radius,20,0.9129335703075144,0.01761366913176346,0.00393853615118128,0.9046901194039355,0.9211770212110933
loading_scale_positive_gap,realised_offdiag_density,20,0.2938030303030303,0.004087875694243754,0.0009140767935898179,0.2918898455864704,0.29571621501959017
