anchor,replication,origin_index,fixed_point_indicator,basin_fraction,d_hat_at_r_true,ARI_at_r_true,r0_released,end_to_end_success,released_stop_state,released_terminal_r,released_n_iter
S1,2,498,1,0.5555555555555556,3.0,0.486185719096259,6,0,wrong_fixed_point,6.0,1.0
S1,3,0,1,0.3333333333333333,2.0,0.2249993380814954,7,0,wrong_fixed_point,7.0,1.0
S1,3,124,1,0.2222222222222222,2.0,0.3200621295210321,7,0,wrong_fixed_point,7.0,1.0
S1,3,249,1,0.2222222222222222,2.0,0.3710292249047014,7,0,wrong_fixed_point,7.0,1.0
S1,3,374,1,0.3333333333333333,2.0,0.4735079771518613,7,0,wrong_fixed_point,7.0,1.0
S1,3,498,1,0.3333333333333333,2.0,0.6071749318267174,7,0,wrong_fixed_point,7.0,1.0
S1,4,0,1,0.4444444444444444,2.0,0.5920420166776725,6,0,wrong_fixed_point,6.0,1.0
S1,4,124,1,0.4444444444444444,2.0,0.6858914146158182,6,0,wrong_fixed_point,6.0,1.0
S1,4,249,1,0.3333333333333333,2.0,0.6922991969455532,6,0,wrong_fixed_point,6.0,1.0
S1,4,374,1,0.4444444444444444,2.0,0.7090673450775212,6,0,wrong_fixed_point,6.0,1.0
S1,4,498,1,0.3333333333333333,2.0,0.6598813371279726,6,0,wrong_fixed_point,6.0,1.0
S1,5,0,1,0.3333333333333333,2.0,0.5964577237024488,7,0,wrong_fixed_point,7.0,1.0
S1,5,124,1,0.4444444444444444,2.0,0.5962597689570572,7,0,wrong_fixed_point,7.0,1.0
S1,5,249,1,0.4444444444444444,2.0,0.5846687825393599,7,0,wrong_fixed_point,7.0,1.0
S1,5,374,1,0.4444444444444444,2.0,0.6004196782466775,7,0,wrong_fixed_point,7.0,1.0
S1,5,498,1,0.5555555555555556,2.0,0.7329014390979675,6,0,wrong_fixed_point,6.0,1.0
S1,6,0,1,0.5555555555555556,3.0,0.4796191609639988,6,0,wrong_fixed_point,6.0,1.0
S1,6,124,1,0.5555555555555556,2.0,0.5304974009251753,6,0,wrong_fixed_point,6.0,1.0
S1,6,249,1,0.5555555555555556,2.0,0.6343535998133862,6,0,wrong_fixed_point,6.0,1.0
S1,6,374,1,0.5555555555555556,2.0,0.6580875074242725,6,0,wrong_fixed_point,6.0,1.0
S1,6,498,1,0.5555555555555556,2.0,0.6655530749586418,6,0,wrong_fixed_point,6.0,1.0
S1,7,0,1,0.5555555555555556,2.0,0.4239789030860516,6,0,wrong_fixed_point,6.0,1.0
S1,7,124,1,0.5555555555555556,2.0,0.6005881744424905,6,0,wrong_fixed_point,6.0,1.0
S1,7,249,1,0.5555555555555556,2.0,0.3594096288961192,6,0,wrong_fixed_point,6.0,1.0
S1,7,374,1,0.5555555555555556,2.0,0.4207388673109927,6,0,wrong_fixed_point,6.0,1.0
S1,7,498,1,0.5555555555555556,2.0,0.7508384687825268,6,0,wrong_fixed_point,6.0,1.0
S1,8,0,1,0.4444444444444444,2.0,0.6551193350292464,6,0,wrong_fixed_point,6.0,1.0
S1,8,124,1,0.4444444444444444,2.0,0.5780294886810313,6,0,wrong_fixed_point,6.0,1.0
S1,8,249,1,0.4444444444444444,2.0,0.5069163854161715,6,0,wrong_fixed_point,6.0,1.0
S1,8,374,1,0.3333333333333333,2.0,0.4976278334211914,6,0,wrong_fixed_point,6.0,1.0
S1,8,498,1,0.4444444444444444,2.0,0.5738973897389739,6,0,wrong_fixed_point,6.0,1.0
S1,9,0,1,0.4444444444444444,2.0,0.6395690987980649,7,0,wrong_fixed_point,7.0,1.0
S1,9,124,1,0.4444444444444444,2.0,0.6890440645316639,7,0,wrong_fixed_point,7.0,1.0
S1,9,249,1,0.4444444444444444,2.0,0.7016868748859659,6,0,wrong_fixed_point,6.0,1.0
S1,9,374,1,0.4444444444444444,2.0,0.7587550582005296,7,0,wrong_fixed_point,7.0,1.0
S1,9,498,1,0.4444444444444444,2.0,0.7037150061836462,7,0,wrong_fixed_point,7.0,1.0
S1,10,0,1,0.3333333333333333,2.0,0.6230787309048179,7,0,wrong_fixed_point,7.0,1.0
S1,10,124,1,0.4444444444444444,2.0,0.619303875586275,7,0,wrong_fixed_point,7.0,1.0
S1,10,249,1,0.5555555555555556,2.0,0.58118256649067,7,0,wrong_fixed_point,7.0,1.0
S1,10,374,1,0.5555555555555556,2.0,0.5961595861108347,7,0,wrong_fixed_point,7.0,1.0
S1,10,498,1,0.4444444444444444,2.0,0.5972317659762443,7,0,wrong_fixed_point,7.0,1.0
S1,11,0,1,0.5555555555555556,2.0,0.5965336557839581,6,0,wrong_fixed_point,6.0,1.0
S1,11,124,1,0.5555555555555556,2.0,0.653876724070755,6,0,wrong_fixed_point,6.0,1.0
S1,11,249,1,0.3333333333333333,2.0,0.6005089058524173,6,0,wrong_fixed_point,6.0,1.0
S1,11,374,1,0.4444444444444444,2.0,0.6095953202077967,6,0,wrong_fixed_point,6.0,1.0
S1,11,498,1,0.3333333333333333,2.0,0.5834333368777628,6,0,wrong_fixed_point,6.0,1.0
S1,12,0,1,0.5555555555555556,2.0,0.5354721495989719,6,0,wrong_fixed_point,6.0,1.0
S1,12,124,1,0.5555555555555556,2.0,0.624348419155259,6,0,wrong_fixed_point,6.0,1.0
S1,12,249,1,0.5555555555555556,2.0,0.6349739682962126,6,0,wrong_fixed_point,6.0,1.0
S1,12,374,1,0.5555555555555556,2.0,0.5301825203438922,6,0,wrong_fixed_point,6.0,1.0
S1,12,498,1,0.5555555555555556,2.0,0.4474837466891403,6,0,wrong_fixed_point,6.0,1.0
S1,13,0,0,0.0,2.0,0.2742547772741106,7,0,wrong_fixed_point,7.0,1.0
S1,13,124,0,0.0,2.0,0.1523545706371191,7,0,wrong_fixed_point,7.0,1.0
S1,13,249,0,0.0,2.0,0.1314011183744191,6,0,wrong_fixed_point,6.0,1.0
S1,13,374,0,0.0,2.0,0.1139522910588639,6,0,wrong_fixed_point,6.0,1.0
S1,13,498,0,0.0,2.0,0.0878487848784878,6,0,wrong_fixed_point,6.0,1.0
S1,14,0,1,0.5555555555555556,3.0,0.4268401942754751,6,0,wrong_fixed_point,6.0,1.0
S1,14,124,1,0.5555555555555556,3.0,0.539109118472406,6,0,wrong_fixed_point,6.0,1.0
S1,14,249,1,0.5555555555555556,2.0,0.4589091989894486,6,0,wrong_fixed_point,6.0,1.0
S1,14,374,1,0.5555555555555556,2.0,0.4576579476861167,6,0,wrong_fixed_point,6.0,1.0
S1,14,498,1,0.5555555555555556,2.0,0.6106178715024206,6,0,wrong_fixed_point,6.0,1.0
S1,16,0,1,0.3333333333333333,2.0,0.6327486725954663,7,0,wrong_fixed_point,7.0,1.0
S1,16,124,1,0.3333333333333333,2.0,0.5793178647595529,7,0,wrong_fixed_point,7.0,1.0
