anchor,replication,fixed_point_indicator,basin_fraction,end_to_end_success,r0_released,d_hat_at_r_true,ARI_at_r_true,family,p_in,p_out,separation,loading_scale,loading_sigma,structural_seed,actual_spectral_radius,realised_offdiag_density,delta,delta_over_lambda_max_Gamma_xi,n_origins
S3,17,0.0,0.0,0.0,6.0,2.2,0.2769732756654417,S,0.45,0.25,0.2,0.4,0.1,1621160096,0.8999999999999994,0.3053535353535354,3.818331860737672,0.2756892796668009,5
S3,18,0.0,0.0,0.0,7.0,2.0,0.342195986045301,S,0.45,0.25,0.2,0.4,0.1,3367057627,0.8999999999999987,0.2991919191919192,-0.2755483394189717,-0.0160288315184388,5
S3,19,0.0,0.0,0.0,7.0,2.0,0.04913783239347484,S,0.45,0.25,0.2,0.4,0.1,2147057047,0.9922417099820732,0.296969696969697,-176.55865380829204,-0.9177487610595872,5
S4,0,0.0,0.0,0.0,7.0,9.6,-0.00396330919239058,S,0.3,0.3,0.0,0.4,0.1,3674827978,0.8999999999999999,0.2943434343434343,-35.20454355203396,-0.6642256423987914,5
S4,1,0.0,0.0,0.0,8.0,10.6,0.01152701361451188,S,0.3,0.3,0.0,0.4,0.1,162215,0.8999999999999977,0.3032323232323232,-41.10353289687322,-0.7144024741192954,5
S4,3,0.0,0.0,0.0,10.0,13.0,0.02779509275562122,S,0.3,0.3,0.0,0.4,0.1,3141226789,0.9000000000000026,0.303030303030303,-102.58670787608794,-0.8935003896854375,5
S4,4,0.0,0.0,0.0,9.0,13.0,0.003970001453880561,S,0.3,0.3,0.0,0.4,0.1,827407145,0.9116165639259644,0.3026262626262626,-58.23401650844427,-0.8018800571927556,5
S4,5,0.0,0.0,0.0,10.0,13.0,0.01166333369543186,S,0.3,0.3,0.0,0.4,0.1,4112232398,0.8999999999999985,0.3012121212121212,-56.93970082593895,-0.7858213417511513,5
S4,7,0.0,0.0,0.0,10.0,12.8,0.03602896093899768,S,0.3,0.3,0.0,0.4,0.1,2175964406,0.9000000000000001,0.2961616161616162,-60.896064854672275,-0.792607060542848,5
S4,8,0.0,0.0,0.0,7.0,10.0,-0.00423307140402458,S,0.3,0.3,0.0,0.4,0.1,1271978911,0.9000000000000034,0.3115151515151515,-32.657936170965606,-0.6976643646673529,5
S4,9,0.0,0.0,0.0,10.0,12.6,-0.0118525063766799,S,0.3,0.3,0.0,0.4,0.1,2148785807,0.994773877812112,0.3063636363636363,-1191.783931998356,-0.9864842547644748,5
S4,10,0.0,0.0,0.0,10.0,12.0,0.004566456141180659,S,0.3,0.3,0.0,0.4,0.1,3128250985,0.961795107216088,0.2990909090909091,-429.0807736360681,-0.9652748531890484,5
S4,11,0.0,0.0,0.0,10.0,12.6,0.0028877940375423407,S,0.3,0.3,0.0,0.4,0.1,3723452138,0.8999999999999966,0.2952525252525252,-29.76705682038419,-0.6566040647868663,5
S4,12,0.0,0.0,0.0,9.0,13.2,0.008221626555473881,S,0.3,0.3,0.0,0.4,0.1,2557843024,0.9000000000000036,0.2964646464646465,-59.31110111293793,-0.8084542347691737,5
S4,13,0.0,0.0,0.0,7.2,11.2,0.0420237050094454,S,0.3,0.3,0.0,0.4,0.1,349997695,0.8999999999999996,0.2967676767676768,-17.51775598089055,-0.4818944813063379,5
S4,14,0.0,0.0,0.0,7.0,9.0,0.014109215848897738,S,0.3,0.3,0.0,0.4,0.1,3902369840,0.8999999999999967,0.2981818181818181,-60.94573290295341,-0.8331709372888938,5
S4,15,0.0,0.0,0.0,10.0,12.8,0.0237191464974102,S,0.3,0.3,0.0,0.4,0.1,883069729,0.9831993312371226,0.2955555555555555,-299.35573731155466,-0.9515992152722982,5
S4,16,0.0,0.0,0.0,8.8,12.0,0.04776577905152126,S,0.3,0.3,0.0,0.4,0.1,587737673,0.899999999999999,0.3002020202020202,-62.68722250490305,-0.7774064536471027,5
S4,17,0.0,0.0,0.0,10.0,11.6,-0.0102130232376258,S,0.3,0.3,0.0,0.4,0.1,1621160096,0.9920194932118642,0.3067676767676767,-359.26511012796277,-0.9531257987153984,5
S4,18,0.0,0.0,0.0,10.0,13.2,0.01624269006366392,S,0.3,0.3,0.0,0.4,0.1,3367057627,0.9000000000000005,0.3,-79.73553888829531,-0.8249859463231468,5
loading_scale_negative_gap,0,0.0,0.0,0.0,6.0,2.0,0.1965475558943367,E,0.9,0.1,0.8,0.2,0.1,3674827978,0.9310466043855584,0.2941414141414141,-3.815656346298443,-0.461678907877386,5
loading_scale_negative_gap,1,0.4,0.22222222222222224,0.2,5.8,2.0,0.2896315628425819,E,0.9,0.1,0.8,0.2,0.1,162215,0.920657990182796,0.3021212121212121,-3.369627049127563,-0.4506277332605181,5
loading_scale_negative_gap,2,1.0,0.6222222222222222,0.8,5.2,2.2,0.20375300360851076,E,0.9,0.1,0.8,0.2,0.1,2951145736,0.900000000000002,0.2953535353535353,-1.955463512149775,-0.3198304035548265,5
loading_scale_negative_gap,3,1.0,0.2,0.4,5.6,2.0,0.11946250300894327,E,0.9,0.1,0.8,0.2,0.1,3141226789,0.9373965708257448,0.2954545454545454,-5.983319606179858,-0.6618539403239354,5
loading_scale_negative_gap,4,1.0,0.4666666666666667,0.2,5.8,2.2,0.13606786223691514,E,0.9,0.1,0.8,0.2,0.1,827407145,0.930197577587225,0.2922222222222222,-4.6033403572419545,-0.561362449736751,5
loading_scale_negative_gap,5,0.2,0.11111111111111112,0.0,6.0,2.0,0.20222787449185725,E,0.9,0.1,0.8,0.2,0.1,4112232398,0.9021490461266936,0.2906060606060606,-2.473789533944974,-0.3893540328180133,5
loading_scale_negative_gap,6,0.8,0.4444444444444445,0.2,5.8,2.2,0.2941734505840872,E,0.9,0.1,0.8,0.2,0.1,3620073301,0.8999999999999966,0.2953535353535353,-1.4691464931513325,-0.2417403416664472,5
loading_scale_negative_gap,7,1.0,0.6222222222222222,0.6,5.2,2.0,0.4383923718973294,E,0.9,0.1,0.8,0.2,0.1,2175964406,0.8999999999999998,0.2992929292929293,-1.8175155261085256,-0.313309666959758,5
loading_scale_negative_gap,8,1.0,0.5555555555555556,1.0,5.0,2.0,0.2762216331487397,E,0.9,0.1,0.8,0.2,0.1,1271978911,0.8999999999999991,0.303030303030303,-2.3608241737033606,-0.4002118709872034,5
loading_scale_negative_gap,9,0.6,0.2,0.0,6.0,2.2,0.2942302526797182,E,0.9,0.1,0.8,0.2,0.1,2148785807,0.9005113332381124,0.2949494949494949,-2.202356420928435,-0.3504430572042236,5
loading_scale_negative_gap,10,0.4,0.04444444444444444,0.0,6.0,2.0,0.335684682396154,E,0.9,0.1,0.8,0.2,0.1,3128250985,0.9000000000000039,0.2954545454545454,-2.304478621231522,-0.3738939414523288,5
loading_scale_negative_gap,11,0.4,0.13333333333333336,0.0,6.0,2.0,0.22333699191113765,E,0.9,0.1,0.8,0.2,0.1,3723452138,0.9000000000000006,0.2914141414141414,-1.9962729365651823,-0.3390279615657245,5
loading_scale_negative_gap,12,1.0,0.24444444444444446,1.0,5.0,2.2,0.19104477291809535,E,0.9,0.1,0.8,0.2,0.1,2557843024,0.8999999999999988,0.2909090909090909,-2.425361012514583,-0.4084143053765585,5
loading_scale_negative_gap,13,0.0,0.0,0.0,6.4,2.0,0.23198168043215844,E,0.9,0.1,0.8,0.2,0.1,349997695,0.9280672150657668,0.2896969696969697,-3.3372034422522976,-0.4147796024991266,5
loading_scale_negative_gap,14,0.2,0.04444444444444444,0.0,4.0,2.4,0.10442982701404424,E,0.9,0.1,0.8,0.2,0.1,3902369840,0.9000000000000004,0.2909090909090909,-2.867975183695022,-0.4845513946658974,5
loading_scale_negative_gap,15,0.0,0.0,0.0,6.8,2.0,0.1815534222060511,E,0.9,0.1,0.8,0.2,0.1,883069729,0.9610944306845408,0.2885858585858586,-10.60904541074292,-0.7359447415062076,5
loading_scale_negative_gap,16,0.2,0.11111111111111112,0.0,6.0,2.0,0.20855422802659446,E,0.9,0.1,0.8,0.2,0.1,587737673,0.9031479498375986,0.2938383838383838,-1.9968079452912804,-0.3079549548006021,5
loading_scale_negative_gap,17,0.0,0.0,0.0,6.2,2.0,0.28809031836052673,E,0.9,0.1,0.8,0.2,0.1,1621160096,0.9252181344303488,0.2914141414141414,-3.3363968223023193,-0.4303078262572437,5
loading_scale_negative_gap,18,0.6,0.06666666666666667,0.6,5.2,2.4,0.14423395130925304,E,0.9,0.1,0.8,0.2,0.1,3367057627,0.9191845537859016,0.2877777777777778,-2.9178020031144793,-0.4082775771500174,5
loading_scale_negative_gap,19,1.0,0.4666666666666667,0.4,5.6,2.0,0.37431027487627055,E,0.9,0.1,0.8,0.2,0.1,2147057047,0.8999999999999995,0.2935353535353535,-2.0019397131836514,-0.3360165099360149,5
loading_scale_positive_gap,0,1.0,0.48888888888888893,0.0,6.6,2.0,0.6824640651601627,E,0.9,0.1,0.8,0.6,0.1,3674827978,0.9310466043855584,0.2941414141414141,31.777016508481054,3.8448898291035247,5
loading_scale_positive_gap,1,1.0,0.31111111111111106,0.0,6.8,2.0,0.7478878087619533,E,0.9,0.1,0.8,0.6,0.1,162215,0.920657990182796,0.3021212121212121,29.494389315807,3.944350400655333,5
loading_scale_positive_gap,2,1.0,0.5555555555555556,0.0,6.0,2.2,0.5688118579138235,E,0.9,0.1,0.8,0.6,0.1,2951145736,0.900000000000002,0.2953535353535353,31.313339281807767,5.121526368006555,5
loading_scale_positive_gap,3,1.0,0.3555555555555555,0.0,7.0,2.0,0.6397476013638197,E,0.9,0.1,0.8,0.6,0.1,3141226789,0.9373965708257448,0.2954545454545454,18.472057332387767,2.0433145370845796,5
loading_scale_positive_gap,4,1.0,0.3333333333333333,0.0,6.8,2.0,0.6752432950996525,E,0.9,0.1,0.8,0.6,0.1,827407145,0.930197577587225,0.2922222222222222,24.172334799163,2.9477379523692337,5
loading_scale_positive_gap,5,1.0,0.5555555555555556,0.0,6.0,2.0,0.6527049715436788,E,0.9,0.1,0.8,0.6,0.1,4112232398,0.9021490461266936,0.2906060606060606,28.56448361046749,4.495813704637878,5
loading_scale_positive_gap,6,1.0,0.5555555555555556,0.0,6.0,2.2,0.5897177166808762,E,0.9,0.1,0.8,0.6,0.1,3620073301,0.8999999999999966,0.2953535353535353,35.39667442062741,5.824336925001973,5
loading_scale_positive_gap,7,1.0,0.6222222222222222,0.2,5.8,2.0,0.708383118227651,E,0.9,0.1,0.8,0.6,0.1,2175964406,0.8999999999999998,0.2992929292929293,30.05051724900723,5.1802129973621645,5
loading_scale_positive_gap,8,1.0,0.5333333333333333,0.4,5.6,2.0,0.6466223257747742,E,0.9,0.1,0.8,0.6,0.1,1271978911,0.8999999999999991,0.303030303030303,25.944069643281836,4.398093161115173,5
loading_scale_positive_gap,9,1.0,0.4666666666666666,0.0,6.2,2.0,0.7164314681772257,E,0.9,0.1,0.8,0.6,0.1,2148785807,0.9005113332381124,0.2949494949494949,30.45472436446726,4.846012485161985,5
loading_scale_positive_gap,10,1.0,0.48888888888888893,0.0,7.0,2.0,0.617809094145045,E,0.9,0.1,0.8,0.6,0.1,3128250985,0.9000000000000039,0.2954545454545454,28.56733536841769,4.634954526929028,5
loading_scale_positive_gap,11,1.0,0.5111111111111111,0.0,6.0,2.2,0.6871625913164989,E,0.9,0.1,0.8,0.6,0.1,3723452138,0.9000000000000006,0.2914141414141414,29.13934398562465,4.948748345908464,5
loading_scale_positive_gap,12,1.0,0.5555555555555556,0.0,6.0,2.0,0.6307061608228158,E,0.9,0.1,0.8,0.6,0.1,2557843024,0.8999999999999988,0.2909090909090909,25.679607112500634,4.324271251610967,5
loading_scale_positive_gap,13,1.0,0.5111111111111111,0.0,6.4,2.0,0.7003069332440364,E,0.9,0.1,0.8,0.6,0.1,349997695,0.9280672150657668,0.2896969696969697,34.33098493054091,4.2669835775078635,5
loading_scale_positive_gap,14,1.0,0.8666666666666666,1.0,5.0,2.6,0.6584982493728837,E,0.9,0.1,0.8,0.6,0.1,3902369840,0.9000000000000004,0.2909090909090909,21.53882788969554,3.639037448006918,5
loading_scale_positive_gap,15,1.0,0.3555555555555555,0.0,7.0,2.0,0.6672227944522138,E,0.9,0.1,0.8,0.6,0.1,883069729,0.9610944306845408,0.2885858585858586,19.84296078279518,1.3764973264441318,5
