experiment,structural_seed,T,residual_type,r_used,r_selected,branch,status,d_hat,d_embed,K_gmm,ARI,MP_edge,eig_1,eig_2,eig_3,eig_4,eig_5,eig_6,eig_7,eig_8
manual_r_sweep,3674827978,1500,estimated,7,,mp_fixed_k,ok,4,4,4,0.05753181226795291,1.5830644461609886,1.6989250503067277,1.606000322706299,1.591029112106668,1.588587712479216,1.5591847026528751,1.5380686778454316,1.5237666377566432,1.509825120960658
manual_r_sweep,3674827978,1500,estimated,7,,full_pipeline,ok,4,4,4,0.05753181226795291,1.5830644461609886,1.6989250503067277,1.606000322706299,1.591029112106668,1.588587712479216,1.5591847026528751,1.5380686778454316,1.5237666377566432,1.509825120960658
baing_jj2_bridge,3674827978,1500,estimated,6,6,oracle,ok,2,4,4,0.36728786499753807,1.5830644461609886,4.3664764194654015,1.6472503209064282,1.5751193524197336,1.5213396090650408,1.5157092279132474,1.5144723343368434,1.4796660872286687,1.476257430339085
baing_jj2_bridge,3674827978,1500,estimated,6,6,mp_fixed_k,ok,2,2,4,0.42771615538125957,1.5830644461609886,4.3664764194654015,1.6472503209064282,1.5751193524197336,1.5213396090650408,1.5157092279132474,1.5144723343368434,1.4796660872286687,1.476257430339085
baing_jj2_bridge,3674827978,1500,estimated,6,6,full_pipeline,ok,2,2,2,0.3207310911447464,1.5830644461609886,4.3664764194654015,1.6472503209064282,1.5751193524197336,1.5213396090650408,1.5157092279132474,1.5144723343368434,1.4796660872286687,1.476257430339085
paired_T_true_residual,162215,200,true,,,oracle,ok,2,4,4,0.675046910546155,2.914213562373095,5.952399767581887,4.742314136277083,2.8192505754019876,2.4287822122786427,2.2762898503705005,2.2438565681424603,2.2005670267325357,2.1015115763583956
paired_T_true_residual,162215,200,true,,,mp_fixed_k,ok,2,2,4,0.6777757652599167,2.914213562373095,5.952399767581887,4.742314136277083,2.8192505754019876,2.4287822122786427,2.2762898503705005,2.2438565681424603,2.2005670267325357,2.1015115763583956
paired_T_true_residual,162215,200,true,,,full_pipeline,ok,2,2,2,0.3207310911447464,2.914213562373095,5.952399767581887,4.742314136277083,2.8192505754019876,2.4287822122786427,2.2762898503705005,2.2438565681424603,2.2005670267325357,2.1015115763583956
paired_T_true_residual,162215,500,true,,,oracle,ok,2,4,4,0.7492,2.0944271909999155,5.320597686720941,4.219523409851418,1.8811126458275012,1.851894435028814,1.8292022210176038,1.7167370328827567,1.6793780202947715,1.6382498096773193
paired_T_true_residual,162215,500,true,,,mp_fixed_k,ok,2,2,4,0.7752410451116551,2.0944271909999155,5.320597686720941,4.219523409851418,1.8811126458275012,1.851894435028814,1.8292022210176038,1.7167370328827567,1.6793780202947715,1.6382498096773193
paired_T_true_residual,162215,500,true,,,full_pipeline,ok,2,2,2,0.3207310911447464,2.0944271909999155,5.320597686720941,4.219523409851418,1.8811126458275012,1.851894435028814,1.8292022210176038,1.7167370328827567,1.6793780202947715,1.6382498096773193
paired_T_true_residual,162215,1000,true,,,oracle,ok,2,4,4,0.876564759862351,1.732455532033676,5.429124800754694,4.167437695352781,1.6395669425040098,1.6333717059385655,1.5574658597140407,1.5099369709827386,1.4676704043195317,1.4619095343538528
paired_T_true_residual,162215,1000,true,,,mp_fixed_k,ok,2,2,4,0.877120397186595,1.732455532033676,5.429124800754694,4.167437695352781,1.6395669425040098,1.6333717059385655,1.5574658597140407,1.5099369709827386,1.4676704043195317,1.4619095343538528
paired_T_true_residual,162215,1000,true,,,full_pipeline,ok,2,2,2,0.32653061224489793,1.732455532033676,5.429124800754694,4.167437695352781,1.6395669425040098,1.6333717059385655,1.5574658597140407,1.5099369709827386,1.4676704043195317,1.4619095343538528
paired_T_true_residual,162215,1500,true,,,oracle,ok,2,4,4,0.9224719662762217,1.5830644461609886,5.473164142169003,4.227463526077542,1.4897205772975837,1.462033781281038,1.437118595321577,1.3970595651416502,1.384520715375661,1.3638332788818524
paired_T_true_residual,162215,1500,true,,,mp_fixed_k,ok,2,2,4,0.92264724951374,1.5830644461609886,5.473164142169003,4.227463526077542,1.4897205772975837,1.462033781281038,1.437118595321577,1.3970595651416502,1.384520715375661,1.3638332788818524
paired_T_true_residual,162215,1500,true,,,full_pipeline,ok,2,2,2,0.32653061224489793,1.5830644461609886,5.473164142169003,4.227463526077542,1.4897205772975837,1.462033781281038,1.437118595321577,1.3970595651416502,1.384520715375661,1.3638332788818524
paired_T_true_residual,162215,3000,true,,,oracle,ok,2,4,4,1.0,1.3984817050034442,5.6554537187826375,4.496449953724619,1.3693216055501343,1.3542729089673902,1.2883668781342175,1.25289525483771,1.245731776245166,1.2319479299226488
paired_T_true_residual,162215,3000,true,,,mp_fixed_k,ok,2,2,4,0.9472597722581074,1.3984817050034442,5.6554537187826375,4.496449953724619,1.3693216055501343,1.3542729089673902,1.2883668781342175,1.25289525483771,1.245731776245166,1.2319479299226488
paired_T_true_residual,162215,3000,true,,,full_pipeline,ok,2,2,2,0.32653061224489793,1.3984817050034442,5.6554537187826375,4.496449953724619,1.3693216055501343,1.3542729089673902,1.2883668781342175,1.25289525483771,1.245731776245166,1.2319479299226488
manual_r_sweep,162215,1500,estimated,3,,oracle,ok,4,4,4,0.026444434098421715,1.5830644461609886,21.226749485828286,9.760266541709239,3.815704996520887,3.0925560578189284,1.2625093854877045,1.1994993237626954,1.1657765737889216,1.1143115604262426
manual_r_sweep,162215,1500,estimated,3,,mp_fixed_k,ok,4,4,4,0.026444434098421715,1.5830644461609886,21.226749485828286,9.760266541709239,3.815704996520887,3.0925560578189284,1.2625093854877045,1.1994993237626954,1.1657765737889216,1.1143115604262426
manual_r_sweep,162215,1500,estimated,3,,full_pipeline,ok,4,4,4,0.026444434098421715,1.5830644461609886,21.226749485828286,9.760266541709239,3.815704996520887,3.0925560578189284,1.2625093854877045,1.1994993237626954,1.1657765737889216,1.1143115604262426
manual_r_sweep,162215,1500,estimated,5,,oracle,ok,2,4,4,0.7494839182260106,1.5830644461609886,5.5143778414565805,4.381600372499041,1.5358230930397707,1.4926256145505563,1.462088795040587,1.448534923871678,1.430808136438295,1.4105948160373278
manual_r_sweep,162215,1500,estimated,5,,mp_fixed_k,ok,2,2,4,0.7657095573024411,1.5830644461609886,5.5143778414565805,4.381600372499041,1.5358230930397707,1.4926256145505563,1.462088795040587,1.448534923871678,1.430808136438295,1.4105948160373278
