replication,branch,r_used,split,sse,den,ARI,d_hat,pr_d_hat_eq_K_true,n_origins,MSPE
2,primary_fixed_K,6,tune,48647.870950057964,24900,0.2218626338285172,1.6465863453815262,0.0,249,1.9537297570304404
2,primary_fixed_K,7,eval,49588.93774433668,25000,0.010935846078432544,2.496,0.0,250,1.9835575097734672
2,primary_fixed_K,7,tune,48224.19152503096,24900,0.040379554048946845,2.0441767068273093,0.0,249,1.9367145190775485
2,primary_fixed_K,8,eval,49823.538548059165,25000,0.02102263279004136,2.524,0.0,250,1.9929415419223666
2,primary_fixed_K,8,tune,48149.504098180376,24900,0.024134178474536697,2.072289156626506,0.0,249,1.9337150240233083
2,primary_fixed_K,9,eval,49642.18032722949,25000,0.010907259489662398,2.604,0.0,250,1.9856872130891796
2,primary_fixed_K,9,tune,48130.54968054924,24900,-0.002066712661252755,2.244979919678715,0.0,249,1.9329538024316963
2,robustness_K_equals_d_hat,1,eval,56478.01925842245,25000,0.007610265232518129,5.196,0.0,250,2.259120770336898
2,robustness_K_equals_d_hat,1,tune,52824.46598431938,24900,0.002703999537022126,6.0,0.0,249,2.1214644973622243
2,robustness_K_equals_d_hat,2,eval,54185.36324060242,25000,0.01783879075207796,5.0,0.0,250,2.167414529624097
2,robustness_K_equals_d_hat,2,tune,51229.311229833846,24900,0.019218066095797987,5.0,0.0,249,2.057402057423046
2,robustness_K_equals_d_hat,3,eval,52082.624039880604,25000,0.10932744955429732,4.0,1.0,250,2.083304961595224
2,robustness_K_equals_d_hat,3,tune,49850.24320014749,24900,0.06593080323620969,4.0,1.0,249,2.00201779920271
2,robustness_K_equals_d_hat,4,eval,50356.49540716516,25000,-0.009251395016393106,3.0,0.0,250,2.0142598162866063
2,robustness_K_equals_d_hat,4,tune,49262.751224174935,24900,0.10369118890393678,3.0,0.0,249,1.9784237439427685
2,robustness_K_equals_d_hat,5,eval,50415.739098107304,25000,0.3320715519532694,2.068,0.0,250,2.016629563924292
2,robustness_K_equals_d_hat,5,tune,48560.5081143116,24900,0.3158535343985012,2.0,0.0,249,1.9502212094101044
2,robustness_K_equals_d_hat,6,eval,51173.33763135978,25000,0.21661889663700487,1.968,0.0,250,2.046933505254391
2,robustness_K_equals_d_hat,6,tune,49572.967870139786,24900,0.06988482659855767,1.6465863453815262,0.0,249,1.9908822437807143
