replication,branch,r_selected,tuning_min_tied,r_prediction_oracle,n_prediction_oracle_ties,r_structure_oracle,n_structure_oracle_ties,MSPE_eval_selected,MSPE_eval_prediction_oracle,MSPE_eval_r_true,ARI_eval_selected,ARI_eval_structure_oracle,ARI_eval_r_true,d_hat_eval_selected,pr_d_hat_eq_K_true_eval_selected,abs_r_selected_minus_r_true,selected_equals_r_true,selected_within_one_of_r_true,selected_equals_prediction_oracle,selected_equals_structure_oracle,predictive_regret,structural_regret,structural_regret_fraction,predictive_regret_fraction,MSPE_eval_selected_minus_r_true,ARI_eval_r_true_minus_selected,spearman_tuneMSPE_evalMSPE,spearman_tuneMSPE_evalARI
10,primary_fixed_K,5,False,8,1,5,1,1.9398957226995828,1.9368808337603005,1.9398957226995828,0.6331519604359981,0.6331519604359981,0.6331519604359981,2.0,0.0,0,1,1,0,1,0.0030148889392822564,0.0,0.0,0.0015565691428878919,0.0,0.0,0.9166666666666666,-0.7
11,primary_fixed_K,5,False,5,1,5,1,1.936863749814763,1.936863749814763,1.936863749814763,0.6629666244276567,0.6629666244276567,0.6629666244276567,2.024,0.0,0,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.9333333333333333,0.016666666666666666
12,primary_fixed_K,5,False,5,1,5,1,1.8708596189117501,1.8708596189117501,1.8708596189117501,0.6193517264823949,0.6193517264823949,0.6193517264823949,2.0,0.0,0,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.8833333333333333,-0.15
13,primary_fixed_K,8,False,7,1,5,1,1.9432354467086497,1.943005027270031,1.9477882369573434,0.00032592926667117725,0.6369780039420099,0.6369780039420099,2.368,0.0,3,0,0,0,0,0.00023041943861867864,0.6366520746753387,0.9994883194322973,0.0001185892138130098,-0.0045527902486937055,0.6366520746753387,0.9833333333333333,0.16666666666666666
14,primary_fixed_K,5,False,5,1,5,1,1.9091183890903964,1.9091183890903964,1.9091183890903964,0.5879047469169874,0.5879047469169874,0.5879047469169874,2.068,0.0,0,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.9333333333333333,-0.13333333333333333
15,primary_fixed_K,8,False,9,1,5,1,1.916293143489706,1.9150591321048889,1.9291032874762561,0.006189244348083042,0.6369112384780438,0.6369112384780438,1.816,0.0,3,0,0,0,0,0.0012340113848170464,0.6307219941299608,0.9902824067559669,0.000644372470870241,-0.012810143986550226,0.6307219941299608,0.95,0.3
16,primary_fixed_K,5,False,5,1,5,1,1.8741176992349557,1.8741176992349557,1.8741176992349557,0.6301694863870266,0.6301694863870266,0.6301694863870266,2.0,0.0,0,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.95,-0.5666666666666667
17,primary_fixed_K,5,False,5,1,5,1,1.8592833674019016,1.8592833674019016,1.8592833674019016,0.7215386518630222,0.7215386518630222,0.7215386518630222,2.0,0.0,0,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.95,-0.5333333333333333
18,primary_fixed_K,7,False,5,1,5,1,1.9283983878759827,1.9162942351596761,1.9162942351596761,0.010852773931443505,0.6179763683862606,0.6179763683862606,2.364,0.0,2,0,0,0,0,0.012104152716306604,0.6071235944548171,0.9824382055906383,0.0063164374730261715,0.012104152716306604,0.6071235944548171,0.85,-0.48333333333333334
19,primary_fixed_K,5,False,5,1,5,1,1.8473926946908221,1.8473926946908221,1.8473926946908221,0.5493448453043217,0.5493448453043217,0.5493448453043217,2.0,0.0,0,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.9666666666666667,0.0
0,robustness_K_equals_d_hat,7,False,7,1,5,1,1.9070442592902246,1.9070442592902246,1.9099646113469149,0.08553354170352853,0.3265306122448979,0.3265306122448979,2.168,0.0,2,0,0,1,0,0.0,0.24099707054136935,0.7380535285329438,0.0,-0.0029203520566902785,0.24099707054136935,0.9166666666666666,-0.1
1,robustness_K_equals_d_hat,7,False,9,1,5,1,1.8953742016227197,1.8864291232247086,1.8888140426248154,0.003932837490258907,0.32530111377166576,0.32530111377166576,2.04,0.0,2,0,0,0,0,0.008945078398011175,0.32136827628140685,0.9879101628498591,0.00474180465509366,0.006560158997904297,0.32136827628140685,0.9,0.4
2,robustness_K_equals_d_hat,5,False,8,1,5,1,2.016629563924292,2.003974297857589,2.016629563924292,0.3320715519532694,0.3320715519532694,0.3320715519532694,2.068,0.0,0,1,1,0,1,0.012655266066702975,0.0,0.0,0.0063150840209041,0.0,0.0,0.8333333333333334,-0.15
3,robustness_K_equals_d_hat,8,False,7,1,4,1,1.906985951986561,1.904994298823504,1.920240915486405,0.034614709048294605,0.34027278483498086,0.30500835909851576,2.656,0.0,3,0,0,0,0,0.00199165316305705,0.30565807578668625,0.8982736481112311,0.001045490353586394,-0.013254963499844008,0.27039365005022115,0.9166666666666666,-0.23333333333333334
4,robustness_K_equals_d_hat,7,False,7,1,5,1,1.9187904373509903,1.9187904373509903,1.9318387009433575,0.04458431914091515,0.3247506199117279,0.3247506199117279,3.008,0.048,2,0,0,1,0,0.0,0.2801663007708127,0.8627121353824241,0.0,-0.013048263592367215,0.2801663007708127,0.9833333333333333,0.21666666666666667
5,robustness_K_equals_d_hat,8,False,4,1,5,1,1.9574549013259233,1.9423494004734998,1.9619063300828359,0.004946948392969598,0.3257716143097548,0.3257716143097548,2.364,0.0,3,0,0,0,0,0.015105500852423459,0.3208246659167852,0.984814673299725,0.007776922549949606,-0.004451428756912623,0.3208246659167852,0.7666666666666667,0.2833333333333333
6,robustness_K_equals_d_hat,7,False,7,1,5,1,1.915711008618146,1.915711008618146,1.9307405031063751,-0.00014834347846915042,0.27806783250817557,0.27806783250817557,2.568,0.0,2,0,0,1,0,0.0,0.2782161759866447,1.0005334794648164,0.0,-0.015029494488229211,0.2782161759866447,0.95,0.11666666666666667
7,robustness_K_equals_d_hat,7,False,9,1,5,1,1.9006360021006072,1.8877525551072685,1.8968248958865952,0.0027110471621080256,0.3160992582739431,0.3160992582739431,2.48,0.0,2,0,0,0,0,0.012883446993338765,0.31338821111183507,0.9914234308017309,0.0068247541016341964,0.003811106214012039,0.31338821111183507,0.8,-0.06666666666666667
8,robustness_K_equals_d_hat,7,False,9,1,5,1,1.9002628292234567,1.899455055952135,1.9177128086357602,0.01828629862142246,0.3077213313228842,0.3077213313228842,2.708,0.0,2,0,0,0,0,0.0008077732713216434,0.28943503270146176,0.940575134837711,0.00042526579862492875,-0.01744997941230353,0.28943503270146176,0.8333333333333334,-0.36666666666666664
9,robustness_K_equals_d_hat,9,False,7,1,6,1,1.9162460705311943,1.912569424998636,1.9225197779944938,0.0019733377415929055,0.32686770233152684,0.3265306122448979,2.408,0.004,4,0,0,0,0,0.003676645532558309,0.3248943645899339,0.9939628855114249,0.001922359253735812,-0.006273707463299472,0.32455727450330496,0.9333333333333333,0.23333333333333334
