replication,branch,epsilon,n_in_set,r_min,r_max,r_values,MSPE_eval_min,MSPE_eval_max,MSPE_eval_range,ARI_eval_min,ARI_eval_max,ARI_eval_range,r_true_in_set,structure_oracle_in_set
1,primary_fixed_K,0.005,1,5,5,5,1.8599545623227527,1.8599545623227527,0.0,0.7564204835463184,0.7564204835463184,0.0,1,1
2,primary_fixed_K,0.005,4,5,9,5|7|8|9,1.9835575097734672,1.9929415419223666,0.00938403214889938,0.010907259489662398,0.5716213482576373,0.5607140887679749,1,1
3,primary_fixed_K,0.005,3,7,9,7|8|9,1.8893368276172393,1.8980465417681065,0.008709714150867187,0.0009392661169408702,0.08520977181974626,0.08427050570280539,0,0
4,primary_fixed_K,0.005,3,5,8,5|7|8,1.8984560889780189,1.9148534431202218,0.01639735414220289,0.0167442831061173,0.6246135029956476,0.6078692198895302,1,1
5,primary_fixed_K,0.005,4,5,9,5|7|8|9,1.933638861165735,1.9414454532909484,0.007806592125213507,0.012070245054529983,0.6529456415445957,0.6408753964900656,1,1
6,primary_fixed_K,0.005,3,5,8,5|7|8,1.8984510665323424,1.907349431823182,0.00889836529083965,-0.0020972942996064087,0.6185940300541896,0.6206913243537959,1,1
7,primary_fixed_K,0.005,2,5,7,5|7,1.8723338413842008,1.8818578602617717,0.009524018877570928,0.005965252076758592,0.7056977035041817,0.6997324514274231,1,1
8,primary_fixed_K,0.005,1,5,5,5,1.8899001331608516,1.8899001331608516,0.0,0.5908983129041064,0.5908983129041064,0.0,1,1
9,primary_fixed_K,0.005,4,5,9,5|7|8|9,1.8901722784569202,1.9001014545176713,0.009929176060751166,0.006387150857238752,0.690811567701312,0.6844244168440733,1,1
10,primary_fixed_K,0.005,4,5,9,5|7|8|9,1.9368808337603005,1.9420718554671272,0.005191021706826726,0.023829128841968784,0.6331519604359981,0.6093228315940293,1,1
11,primary_fixed_K,0.005,4,5,9,5|7|8|9,1.936863749814763,1.9460275417518138,0.009163791937050858,0.0033527074904856056,0.6629666244276567,0.6596139169371712,1,1
12,primary_fixed_K,0.005,5,5,9,5|6|7|8|9,1.8708596189117501,1.888016254046854,0.017156635135103793,-0.008130893274390009,0.6193517264823949,0.6274826197567849,1,1
13,primary_fixed_K,0.005,3,7,9,7|8|9,1.943005027270031,1.9432965442320818,0.00029151696205076405,-0.0032293795524789537,0.014410259424197634,0.017639638976676586,0,0
14,primary_fixed_K,0.005,4,5,9,5|6|8|9,1.9091183890903964,1.9307727628149736,0.021654373724577125,0.0034174107835425556,0.5879047469169874,0.5844873361334448,1,1
15,primary_fixed_K,0.005,3,7,9,7|8|9,1.9150591321048889,1.921019279897824,0.005960147792935189,-0.0011053272512918577,0.01011637400658165,0.011221701257873508,0,0
16,primary_fixed_K,0.005,1,5,5,5,1.8741176992349557,1.8741176992349557,0.0,0.6301694863870266,0.6301694863870266,0.0,1,1
17,primary_fixed_K,0.005,2,5,9,5|9,1.8592833674019016,1.8645821254215877,0.005298758019686156,0.008392608080714474,0.7215386518630222,0.7131460437823077,1,1
18,primary_fixed_K,0.005,4,5,9,5|7|8|9,1.9162942351596761,1.9299834731397356,0.013689237980059499,0.010852773931443505,0.6179763683862606,0.6071235944548171,1,1
19,primary_fixed_K,0.005,4,5,9,5|7|8|9,1.8473926946908221,1.866263770858353,0.01887107616753081,-0.004718998322906033,0.5493448453043217,0.5540638436272277,1,1
0,primary_fixed_K,0.01,5,5,9,5|6|7|8|9,1.884246242415288,1.897047156453282,0.012800914037994104,4.0278310028375784e-05,0.6784076141677903,0.6783673358577619,1,1
1,primary_fixed_K,0.01,4,5,9,5|7|8|9,1.8599545623227527,1.8766028951899194,0.016648332867166715,0.004003225508475669,0.7564204835463184,0.7524172580378428,1,1
2,primary_fixed_K,0.01,4,5,9,5|7|8|9,1.9835575097734672,1.9929415419223666,0.00938403214889938,0.010907259489662398,0.5716213482576373,0.5607140887679749,1,1
3,primary_fixed_K,0.01,3,7,9,7|8|9,1.8893368276172393,1.8980465417681065,0.008709714150867187,0.0009392661169408702,0.08520977181974626,0.08427050570280539,0,0
4,primary_fixed_K,0.01,4,5,9,5|7|8|9,1.8984560889780189,1.9148534431202218,0.01639735414220289,0.007081370106216572,0.6246135029956476,0.617532132889431,1,1
5,primary_fixed_K,0.01,5,5,9,5|6|7|8|9,1.933638861165735,1.9450870040267916,0.011448142861056665,0.012070245054529983,0.6529456415445957,0.6408753964900656,1,1
6,primary_fixed_K,0.01,5,5,9,5|6|7|8|9,1.8984510665323424,1.9156272004944674,0.01717613396212503,-0.007195775235419722,0.6185940300541896,0.6257898052896093,1,1
7,primary_fixed_K,0.01,6,4,9,4|5|6|7|8|9,1.8723338413842008,1.8980874620035142,0.02575362061931341,0.0035904310486003293,0.7056977035041817,0.7021072724555814,1,1
8,primary_fixed_K,0.01,4,5,9,5|7|8|9,1.8897133128129073,1.8942183595536033,0.0045050467406959616,0.01078457972157544,0.5908983129041064,0.580113733182531,1,1
9,primary_fixed_K,0.01,4,5,9,5|7|8|9,1.8901722784569202,1.9001014545176713,0.009929176060751166,0.006387150857238752,0.690811567701312,0.6844244168440733,1,1
10,primary_fixed_K,0.01,4,5,9,5|7|8|9,1.9368808337603005,1.9420718554671272,0.005191021706826726,0.023829128841968784,0.6331519604359981,0.6093228315940293,1,1
11,primary_fixed_K,0.01,5,4,9,4|5|7|8|9,1.936863749814763,1.9471941869341596,0.01033043711939663,0.0033527074904856056,0.6629666244276567,0.6596139169371712,1,1
12,primary_fixed_K,0.01,5,5,9,5|6|7|8|9,1.8708596189117501,1.888016254046854,0.017156635135103793,-0.008130893274390009,0.6193517264823949,0.6274826197567849,1,1
13,primary_fixed_K,0.01,6,4,9,4|5|6|7|8|9,1.943005027270031,1.9699558354682025,0.026950808198171528,-0.0032293795524789537,0.6369780039420099,0.6402073834944888,1,1
14,primary_fixed_K,0.01,5,5,9,5|6|7|8|9,1.9091183890903964,1.9307727628149736,0.021654373724577125,0.0034174107835425556,0.5879047469169874,0.5844873361334448,1,1
15,primary_fixed_K,0.01,4,5,9,5|7|8|9,1.9150591321048889,1.9291032874762561,0.014044155371367273,-0.0011053272512918577,0.6369112384780438,0.6380165657293356,1,1
16,primary_fixed_K,0.01,5,4,9,4|5|7|8|9,1.8741176992349557,1.8885647442763949,0.014447045041439122,0.007465471829375143,0.6301694863870266,0.6227040145576515,1,1
17,primary_fixed_K,0.01,5,5,9,5|6|7|8|9,1.8592833674019016,1.8737915554185045,0.014508188016602919,0.008392608080714474,0.7215386518630222,0.7131460437823077,1,1
18,primary_fixed_K,0.01,4,5,9,5|7|8|9,1.9162942351596761,1.9299834731397356,0.013689237980059499,0.010852773931443505,0.6179763683862606,0.6071235944548171,1,1
19,primary_fixed_K,0.01,5,5,9,5|6|7|8|9,1.8473926946908221,1.8996226809210004,0.05222998623017827,-0.004718998322906033,0.5493448453043217,0.5540638436272277,1,1
0,primary_fixed_K,0.02,5,5,9,5|6|7|8|9,1.884246242415288,1.897047156453282,0.012800914037994104,4.0278310028375784e-05,0.6784076141677903,0.6783673358577619,1,1
1,primary_fixed_K,0.02,4,5,9,5|7|8|9,1.8599545623227527,1.8766028951899194,0.016648332867166715,0.004003225508475669,0.7564204835463184,0.7524172580378428,1,1
2,primary_fixed_K,0.02,5,5,9,5|6|7|8|9,1.9835575097734672,2.023674717886137,0.04011720811266972,0.010907259489662398,0.5716213482576373,0.5607140887679749,1,1
3,primary_fixed_K,0.02,6,4,9,4|5|6|7|8|9,1.8893368276172393,1.917184575099345,0.027847747482105722,0.0009392661169408702,0.5648948360560176,0.5639555699390768,1,1
4,primary_fixed_K,0.02,6,4,9,4|5|6|7|8|9,1.8984560889780189,1.9247459666605837,0.026289877682564855,0.007081370106216572,0.6246135029956476,0.617532132889431,1,1
