T_window,mp_edge,d_hat,corr_finite,corr_symmetric,leading_eigenvalues,lambda_1_minus_edge,indicator_dhat_ge_1,lambda_2_minus_edge,indicator_dhat_ge_2,lambda_3_minus_edge,indicator_dhat_ge_3,lambda_4_minus_edge,indicator_dhat_ge_4,lambda_5_minus_edge,indicator_dhat_ge_5,lambda_6_minus_edge,indicator_dhat_ge_6,run_id,world_index,structural_seed,branch,path
200,2.914213562373095,2,True,True,"[6.844326118676041, 4.535701057839799, 2.4741308411285767, 2.418093424099284, 2.3262231049658726, 2.2802306452026877, 2.2437227490105425, 2.147734996742338]",3.930112556302946,1,1.6214874954667042,1,-0.4400827212445182,0,-0.49612013827381096,0,-0.5879904574072223,0,-0.6339829171704072,0,formal_20260818,0,3674827978,iid_marginal,6.0
500,2.0944271909999155,2,True,True,"[6.960685461356444, 3.9638871858949876, 1.8242960151232903, 1.7876790123778905, 1.767603387465976, 1.728070482420892, 1.6983455526532447, 1.6517866232254108]",4.8662582703565285,1,1.869459994895072,1,-0.27013117587662516,0,-0.30674817862202497,0,-0.32682380353393947,0,-0.3663567085790236,0,formal_20260818,0,3674827978,iid_marginal,6.0
1000,1.732455532033676,2,True,True,"[6.736525564442911, 4.258607760502811, 1.6072277019068903, 1.5184240800747884, 1.4820183173599049, 1.479751079225721, 1.4704921412434215, 1.4255633182995398]",5.004070032409235,1,2.5261522284691353,1,-0.12522783012678573,0,-0.21403145195888773,0,-0.2504372146737712,0,-0.25270445280795517,0,formal_20260818,0,3674827978,iid_marginal,6.0
1500,1.5830644461609886,2,True,True,"[6.575911209436978, 4.3330565572694875, 1.4714647248545174, 1.4165897193899615, 1.3962562111477652, 1.374587249540866, 1.3580300138935897, 1.3300507366389134]",4.992846763275989,1,2.749992111108499,1,-0.11159972130647122,0,-0.16647472677102715,0,-0.1868082350132234,0,-0.20847719662012265,0,formal_20260818,0,3674827978,iid_marginal,6.0
3000,1.3984817050034442,2,True,True,"[6.500878388433121, 4.397340729235249, 1.356202922229842, 1.3332307669253878, 1.2666951460961757, 1.2593800040084109, 1.245373293966472, 1.225376119964976]",5.102396683429677,1,2.9988590242318045,1,-0.0422787827736022,0,-0.06525093807805638,0,-0.13178655890726843,0,-0.13910170099503327,0,formal_20260818,0,3674827978,iid_marginal,6.0
200,2.914213562373095,2,True,True,"[7.058895130618387, 4.819571025320513, 2.5019946470627707, 2.371466669064806, 2.2308170434811467, 2.1475740756972956, 2.114994840094745, 2.081939186925839]",4.144681568245292,1,1.9053574629474177,1,-0.4122189153103242,0,-0.5427468933082888,0,-0.6833965188919482,0,-0.7666394866757993,0,formal_20260818,0,3674827978,iid_marginal,7.0
500,2.0944271909999155,2,True,True,"[6.4846145476061565, 4.522145098405189, 1.878822970897938, 1.7646546364917528, 1.7400641433030652, 1.6872477898678857, 1.6565515236255497, 1.6069932907870532]",4.390187356606241,1,2.4277179074052735,1,-0.21560422010197744,0,-0.3297725545081627,0,-0.35436304769685023,0,-0.4071794011320298,0,formal_20260818,0,3674827978,iid_marginal,7.0
1000,1.732455532033676,2,True,True,"[6.4067071716658015, 4.462440768652301, 1.6249139556520455, 1.5582282957869544, 1.5070394458521752, 1.4819995429848354, 1.4490194118119444, 1.4195272166391444]",4.674251639632125,1,2.729985236618625,1,-0.10754157638163053,0,-0.17422723624672165,0,-0.22541608618150089,0,-0.2504559890488407,0,formal_20260818,0,3674827978,iid_marginal,7.0
1500,1.5830644461609886,2,True,True,"[6.33123204184097, 4.594040728275512, 1.4881838253835458, 1.469660026630419, 1.4118571102423367, 1.378803075954951, 1.3430376710513983, 1.3332795315931545]",4.748167595679981,1,3.010976282114523,1,-0.09488062077744286,0,-0.11340441953056968,0,-0.1712073359186519,0,-0.20426137020603763,0,formal_20260818,0,3674827978,iid_marginal,7.0
3000,1.3984817050034442,2,True,True,"[6.342436801758119, 4.527812407270249, 1.3525515279022062, 1.3384658222069914, 1.2661305310652673, 1.2555745335109811, 1.2362777167094476, 1.2278408452396292]",4.943955096754674,1,3.129330702266804,1,-0.04593017710123792,0,-0.06001588279645276,0,-0.13235117393817686,0,-0.14290717149246301,0,formal_20260818,0,3674827978,iid_marginal,7.0
200,2.914213562373095,2,True,True,"[6.930990287205401, 5.616540289499551, 2.571422398122333, 2.352093097048035, 2.2657167546121633, 2.209442324164728, 2.1439346878255288, 2.0769356001151693]",4.016776724832306,1,2.702326727126456,1,-0.34279116425076195,0,-0.56212046532506,0,-0.6484968077609317,0,-0.7047712382083668,0,formal_20260818,0,3674827978,iid_marginal,8.0
500,2.0944271909999155,2,True,True,"[6.19665772134894, 5.2908410438310955, 1.8337573230284998, 1.7529147418264444, 1.7358361141879906, 1.7056643328323529, 1.6851035886718535, 1.6557228897254326]",4.102230530349024,1,3.19641385283118,1,-0.26066986797141567,0,-0.3415124491734711,0,-0.3585910768119249,0,-0.3887628581675626,0,formal_20260818,0,3674827978,iid_marginal,8.0
