T_window,mp_edge,d_hat,corr_finite,corr_symmetric,leading_eigenvalues,lambda_1_minus_edge,indicator_dhat_ge_1,lambda_2_minus_edge,indicator_dhat_ge_2,lambda_3_minus_edge,indicator_dhat_ge_3,lambda_4_minus_edge,indicator_dhat_ge_4,lambda_5_minus_edge,indicator_dhat_ge_5,lambda_6_minus_edge,indicator_dhat_ge_6,run_id,world_index,structural_seed,branch,path
1000,1.732455532033676,2,True,True,"[6.343496903188407, 4.923407279352391, 1.571561645144913, 1.5370998708122205, 1.5317467181428415, 1.4839416806453947, 1.4720879785916947, 1.4593972254520176]",4.61104137115473,1,3.190951747318715,1,-0.16089388688876305,0,-0.19535566122145553,0,-0.20070881389083461,0,-0.24851385138828141,0,formal_20260818,0,3674827978,iid_marginal,8.0
1500,1.5830644461609886,2,True,True,"[6.4042693449582595, 4.768646197506849, 1.51499242696188, 1.4694329048058412, 1.406251160999554, 1.3945753565922179, 1.3855928924649599, 1.357853587575382]",4.821204898797271,1,3.18558175134586,1,-0.06807201919910866,0,-0.11363154135514741,0,-0.17681328516143457,0,-0.18848908956877075,0,formal_20260818,0,3674827978,iid_marginal,8.0
3000,1.3984817050034442,2,True,True,"[6.302547443497879, 4.473261153663191, 1.3910043648861843, 1.3453387176791798, 1.2893901181482912, 1.2523329102838827, 1.2371463855582214, 1.235724547023829]",4.904065738494435,1,3.074779448659747,1,-0.0074773401172598675,0,-0.05314298732426437,0,-0.10909158685515297,0,-0.14614879471956144,0,formal_20260818,0,3674827978,iid_marginal,8.0
200,2.914213562373095,2,True,True,"[6.907383435443691, 5.205409539649869, 2.448491011719073, 2.362258850562448, 2.251742889620397, 2.199289522369084, 2.095570440613774, 2.0842448562095686]",3.9931698730705962,1,2.2911959772767743,1,-0.4657225506540219,0,-0.5519547118106467,0,-0.6624706727526979,0,-0.7149240400040111,0,formal_20260818,0,3674827978,iid_marginal,9.0
500,2.0944271909999155,2,True,True,"[6.444949465257683, 4.708697835828383, 1.885205653506135, 1.8535544235051502, 1.7665293259105865, 1.7152157458169883, 1.6564720283089234, 1.6168032707037356]",4.350522274257768,1,2.614270644828468,1,-0.20922153749378047,0,-0.24087276749476527,0,-0.32789786508932894,0,-0.37921144518292715,0,formal_20260818,0,3674827978,iid_marginal,9.0
1000,1.732455532033676,2,True,True,"[6.632665062487697, 4.345010335255637, 1.5920771444564437, 1.5891736958416414, 1.5318810944439853, 1.4848703290340175, 1.4643173384004367, 1.4397826270703826]",4.9002095304540205,1,2.6125548032219608,1,-0.14037838757723242,0,-0.14328183619203472,0,-0.20057443758969073,0,-0.24758520299965858,0,formal_20260818,0,3674827978,iid_marginal,9.0
1500,1.5830644461609886,2,True,True,"[6.665444926646329, 4.3987889006335195, 1.4701559885167437, 1.4377441643170654, 1.3979835795541475, 1.3686315861543021, 1.3576889888931263, 1.3544912129714521]",5.082380480485341,1,2.815724454472531,1,-0.11290845764424495,0,-0.1453202818439232,0,-0.1850808666068411,0,-0.2144328600066865,0,formal_20260818,0,3674827978,iid_marginal,9.0
3000,1.3984817050034442,2,True,True,"[6.4663289541122095, 4.636077596200521, 1.3455683687281073, 1.2946896893023707, 1.2819107269743737, 1.249219823297725, 1.2377970717918532, 1.2282757122743002]",5.067847249108765,1,3.237595891197077,1,-0.0529133362753369,0,-0.10379201570107344,0,-0.11657097802907046,0,-0.1492618817057192,0,formal_20260818,0,3674827978,iid_marginal,9.0
200,2.914213562373095,2,True,True,"[7.486602596768549, 5.103507961570914, 2.495630574766046, 2.3703561127990884, 2.301941782786697, 2.231254463532194, 2.194657670856193, 2.1127376526517954]",4.572389034395454,1,2.189294399197819,1,-0.4185829876070488,0,-0.5438574495740065,0,-0.6122717795863979,0,-0.6829590988409011,0,formal_20260818,0,3674827978,iid_marginal,10.0
500,2.0944271909999155,2,True,True,"[6.882280227415113, 4.926807394641494, 1.889404200795601, 1.852798030495472, 1.7882056065355796, 1.7810098386825308, 1.709222174159167, 1.6703099238945724]",4.787853036415198,1,2.8323802036415784,1,-0.20502299020431458,0,-0.24162916050444339,0,-0.3062215844643359,0,-0.31341735231738466,0,formal_20260818,0,3674827978,iid_marginal,10.0
