family,test,metric,branch_a,branch_b,T_window,mean,sd,se,t_stat,p_value,ci_low,ci_high,n,deltas,p_holm,holm_significant
B,j3_T200,Pr_dhat_ge_3,var_burnin_500,var_stationary_start,200.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,20,"{""0"": 0.0, ""1"": 0.0, ""2"": 0.0, ""3"": 0.0, ""4"": 0.0, ""5"": 0.0, ""6"": 0.0, ""7"": 0.0, ""8"": 0.0, ""9"": 0.0, ""10"": 0.0, ""11"": 0.0, ""12"": 0.0, ""13"": 0.0, ""14"": 0.0, ""15"": 0.0, ""16"": 0.0, ""17"": 0.0, ""18"": 0.0, ""19"": 0.0}",1.0,False
B,j3_T500,Pr_dhat_ge_3,var_burnin_500,var_stationary_start,500.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,20,"{""0"": 0.0, ""1"": 0.0, ""2"": 0.0, ""3"": 0.0, ""4"": 0.0, ""5"": 0.0, ""6"": 0.0, ""7"": 0.0, ""8"": 0.0, ""9"": 0.0, ""10"": 0.0, ""11"": 0.0, ""12"": 0.0, ""13"": 0.0, ""14"": 0.0, ""15"": 0.0, ""16"": 0.0, ""17"": 0.0, ""18"": 0.0, ""19"": 0.0}",1.0,False
B,j3_T1000,Pr_dhat_ge_3,var_burnin_500,var_stationary_start,1000.0,0.001,0.01020835571068081,0.0022826577307580465,0.43808582711518057,0.6662641376986584,-0.0037776575384575713,0.005777657538457571,20,"{""0"": 0.02, ""1"": 0.0, ""2"": 0.0, ""3"": 0.0, ""4"": 0.0, ""5"": -0.02, ""6"": 0.0, ""7"": 0.0, ""8"": 0.0, ""9"": 0.02, ""10"": 0.0, ""11"": 0.0, ""12"": 0.02, ""13"": 0.0, ""14"": -0.02, ""15"": 0.0, ""16"": 0.0, ""17"": 0.0, ""18"": 0.0, ""19"": 0.0}",1.0,False
B,j3_T1500,Pr_dhat_ge_3,var_burnin_500,var_stationary_start,1500.0,0.009000000000000001,0.0333876750029897,0.007465711091735545,1.2055114227448334,0.24280533280221142,-0.006625912898265068,0.02462591289826507,20,"{""0"": 0.0, ""1"": 0.039999999999999994, ""2"": 0.0, ""3"": 0.02, ""4"": 0.019999999999999997, ""5"": 0.0, ""6"": 0.02, ""7"": 0.04, ""8"": -0.04, ""9"": 0.0, ""10"": 0.04000000000000001, ""11"": 0.04, ""12"": 0.0, ""13"": 0.08, ""14"": -0.02, ""15"": 0.0, ""16"": 0.0, ""17"": -0.08, ""18"": 0.02, ""19"": 0.0}",1.0,False
B,j3_T3000,Pr_dhat_ge_3,var_burnin_500,var_stationary_start,3000.0,0.029999999999999992,0.06821020142872597,0.015252264715358455,1.9669210153290302,0.0639697872476515,-0.0019233569334476536,0.06192335693344764,20,"{""0"": 0.10000000000000003, ""1"": 0.10000000000000003, ""2"": 0.04000000000000001, ""3"": -0.08000000000000007, ""4"": 0.09999999999999998, ""5"": -0.040000000000000036, ""6"": 0.04000000000000001, ""7"": 0.020000000000000018, ""8"": 0.020000000000000018, ""9"": -0.020000000000000018, ""10"": -0.06000000000000005, ""11"": 0.18, ""12"": 0.03999999999999998, ""13"": 0.0, ""14"": 0.07999999999999996, ""15"": -0.020000000000000018, ""16"": 0.12, ""17"": -0.05999999999999994, ""18"": 0.03999999999999998, ""19"": 0.0}",0.639697872476515,False
B,j4_T200,Pr_dhat_ge_4,var_burnin_500,var_stationary_start,200.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,20,"{""0"": 0.0, ""1"": 0.0, ""2"": 0.0, ""3"": 0.0, ""4"": 0.0, ""5"": 0.0, ""6"": 0.0, ""7"": 0.0, ""8"": 0.0, ""9"": 0.0, ""10"": 0.0, ""11"": 0.0, ""12"": 0.0, ""13"": 0.0, ""14"": 0.0, ""15"": 0.0, ""16"": 0.0, ""17"": 0.0, ""18"": 0.0, ""19"": 0.0}",1.0,False
B,j4_T500,Pr_dhat_ge_4,var_burnin_500,var_stationary_start,500.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,20,"{""0"": 0.0, ""1"": 0.0, ""2"": 0.0, ""3"": 0.0, ""4"": 0.0, ""5"": 0.0, ""6"": 0.0, ""7"": 0.0, ""8"": 0.0, ""9"": 0.0, ""10"": 0.0, ""11"": 0.0, ""12"": 0.0, ""13"": 0.0, ""14"": 0.0, ""15"": 0.0, ""16"": 0.0, ""17"": 0.0, ""18"": 0.0, ""19"": 0.0}",1.0,False
B,j4_T1000,Pr_dhat_ge_4,var_burnin_500,var_stationary_start,1000.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,20,"{""0"": 0.0, ""1"": 0.0, ""2"": 0.0, ""3"": 0.0, ""4"": 0.0, ""5"": 0.0, ""6"": 0.0, ""7"": 0.0, ""8"": 0.0, ""9"": 0.0, ""10"": 0.0, ""11"": 0.0, ""12"": 0.0, ""13"": 0.0, ""14"": 0.0, ""15"": 0.0, ""16"": 0.0, ""17"": 0.0, ""18"": 0.0, ""19"": 0.0}",1.0,False
B,j4_T1500,Pr_dhat_ge_4,var_burnin_500,var_stationary_start,1500.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,20,"{""0"": 0.0, ""1"": 0.0, ""2"": 0.0, ""3"": 0.0, ""4"": 0.0, ""5"": 0.0, ""6"": 0.0, ""7"": 0.0, ""8"": 0.0, ""9"": 0.0, ""10"": 0.0, ""11"": 0.0, ""12"": 0.0, ""13"": 0.0, ""14"": 0.0, ""15"": 0.0, ""16"": 0.0, ""17"": 0.0, ""18"": 0.0, ""19"": 0.0}",1.0,False
B,j4_T3000,Pr_dhat_ge_4,var_burnin_500,var_stationary_start,3000.0,0.0020000000000000005,0.024192212753171977,0.0054095432242229876,0.3697169829504921,0.715682107694262,-0.009322304091659945,0.013322304091659945,20,"{""0"": 0.0, ""1"": 0.0, ""2"": 0.0, ""3"": 0.0, ""4"": 0.02, ""5"": 0.02, ""6"": 0.0, ""7"": 0.0, ""8"": -0.02, ""9"": 0.0, ""10"": 0.08, ""11"": 0.0, ""12"": 0.0, ""13"": 0.0, ""14"": 0.0, ""15"": 0.0, ""16"": 0.0, ""17"": -0.06, ""18"": 0.0, ""19"": 0.0}",1.0,False
T,j3_T3000_minus_T1500,Pr_dhat_ge_3,iid_marginal(T=3000),iid_marginal(T=1500),,0.37999999999999995,0.20915871586202814,0.046769310675405844,8.124986118297166,1.3302421956814273e-07,0.28211070774828234,0.47788929225171756,20,"{""0"": 0.38, ""1"": 0.33999999999999997, ""2"": 0.14, ""3"": 0.44, ""4"": 0.5, ""5"": 0.45999999999999996, ""6"": 0.22, ""7"": 0.2, ""8"": 0.48, ""9"": 0.74, ""10"": 0.86, ""11"": 0.5, ""12"": 0.2, ""13"": 0.52, ""14"": 0.34, ""15"": 0.2, ""16"": 0.22, ""17"": 0.6200000000000001, ""18"": 0.14, ""19"": 0.1}",2.6604843913628546e-07,True
T,j4_T3000_minus_T1500,Pr_dhat_ge_4,iid_marginal(T=3000),iid_marginal(T=1500),,0.001,0.00447213595499958,0.001,1.0,0.32987680092112504,-0.0010930240544082632,0.0030930240544082633,20,"{""0"": 0.0, ""1"": 0.0, ""2"": 0.0, ""3"": 0.0, ""4"": 0.0, ""5"": 0.0, ""6"": 0.0, ""7"": 0.0, ""8"": 0.0, ""9"": 0.0, ""10"": 0.02, ""11"": 0.0, ""12"": 0.0, ""13"": 0.0, ""14"": 0.0, ""15"": 0.0, ""16"": 0.0, ""17"": 0.0, ""18"": 0.0, ""19"": 0.0}",0.32987680092112504,False
