world_index,structural_seed,run_id,lyap_residual_rel,finite_sum_converged,finite_sum_k_used,finite_sum_last_ratio,sum_vs_lyap_close,corr_is_finite,corr_is_symmetric,corr_positive_diagonal,corr_unit_diagonal,corr_is_psd,corr_min_eig,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,theta_2_minus_theta_3,theta_4_minus_theta_5,theta_3_over_theta_2,theta_4_over_theta_2
10,3128250985,formal_20260818,5.305261499386883e-15,True,120,9.060560191961443e-13,True,True,True,True,True,True,0.7887163090256476,5.116918499435114,4.090575165299116,1.3342369357813504,1.2362413403139558,1.020489061333848,1.0132112590762947,1.011813861622239,1.0084832446335068,2.7563382295177656,0.21575227898010785,0.32617343084167155,0.3022169964754963
11,3723452138,formal_20260818,6.044989849848498e-15,True,120,9.05763004078812e-13,True,True,True,True,True,True,0.789572382371641,4.8913851721127335,3.6497221220310245,1.268995852425972,1.2248497941465524,1.0150518297248317,1.011329604472741,1.0100706691252712,1.0081734782015772,2.3807262696050526,0.20979796442172072,0.3476965670251607,0.3356008356781252
12,2557843024,formal_20260818,5.2044568328291604e-15,True,120,8.826944291366548e-13,True,True,True,True,True,True,0.8002281676173785,4.9539128959203245,3.892364889230625,1.2635244722426577,1.199235721084761,1.016017409176707,1.0144893955361551,1.0107287062832448,1.0091841662894125,2.628840416987967,0.18321831190805415,0.32461614165171687,0.3080995115341833
13,349997695,formal_20260818,5.7358234760448884e-15,True,169,8.658534881605555e-13,True,True,True,True,True,True,0.7255850473322697,6.238936023551039,4.473702358793585,1.2981887516982096,1.2048653161903928,1.0195677347675778,1.0163881748746215,1.0135272111332139,1.010621285971525,3.175513607095376,0.18529758142281505,0.29018219085283303,0.26932174283389443
14,3902369840,formal_20260818,5.57237802061921e-15,True,120,9.308946772448722e-13,True,True,True,True,True,True,0.7793531034367233,4.895813767686445,3.494814991316702,1.2635904518263703,1.2151800939352722,1.0180112875268705,1.0137455032918126,1.0119589370219204,1.0084623638021117,2.2312245394903316,0.19716880640840162,0.3615614717705848,0.3477094200850508
15,883069729,formal_20260818,7.926875499882221e-15,True,313,9.664997287020172e-13,True,True,True,True,True,True,0.5487234233905742,9.299055042988439,4.5456768013609725,1.2626063390144782,1.2016467988695614,1.0222368175928718,1.017585626528784,1.0125209314904045,1.0106581312828047,3.2830704623464944,0.1794099812766896,0.27775981315619597,0.26434937004535586
16,587737673,formal_20260818,5.371361853460675e-15,True,124,9.55382996770797e-13,True,True,True,True,True,True,0.7779388875176756,5.331749378221478,4.182637898255142,1.2572227416848762,1.189686460630758,1.0218448464342487,1.0188840866539899,1.0159690898364226,1.0136789182934793,2.9254151565702657,0.16784161419650934,0.3005813011471416,0.2844344859800213
17,1621160096,formal_20260818,5.478653140722295e-15,True,162,9.092737727919302e-13,True,True,True,True,True,True,0.7306980345314835,6.112349153462763,4.40796970695902,1.308329200291201,1.2422842089569879,1.0222345793537475,1.0173636973402709,1.0161842847152023,1.011398610171569,3.0996405066678188,0.22004962960324037,0.29680993456595106,0.28182684808285985
18,3367057627,formal_20260818,5.859303076895248e-15,True,149,9.92471257139781e-13,True,True,True,True,True,True,0.7258825402919431,5.718023257619579,4.408251019954673,1.2509439458350713,1.1755582510996976,1.017754524591025,1.016448875836424,1.0152413988369031,1.010665265014349,3.1573070741196023,0.1578037265086727,0.2837733015140172,0.26667225749585033
19,2147057047,formal_20260818,5.3367418260721934e-15,True,120,8.772117952102131e-13,True,True,True,True,True,True,0.794383986196577,4.971250461216512,3.999604679234383,1.240609248924311,1.1787008008225672,1.0161628401267613,1.0149186408497726,1.0114829680825856,1.0095879278975608,2.758995430310072,0.16253796069580595,0.31018296767314324,0.2947043258905772
