r_used,metric,n_replications_planned,n_replications_valid,coverage_fraction,mean,sd,mcse,ci95_low,ci95_high,n_replications_any_valid_origin,series
3.0,UMP_Q_C_full_excess_capture,20,20,1.0,0.41544605163035236,0.018614748990190087,0.00416238441261606,0.40673408093105295,0.4241580223296518,20,cell
3.0,UMP_Q_C_full_excess_purity,20,20,1.0,0.41544605163035236,0.018614748990190087,0.00416238441261606,0.40673408093105295,0.4241580223296518,20,cell
3.0,UMP_Q_C_full_expected_random_capture,20,20,1.0,0.04000000000000001,7.119154932824459e-18,1.5918914372148438e-18,0.04000000000000001,0.04000000000000001,20,cell
3.0,UMP_Q_C_full_expected_random_purity,20,20,1.0,0.04000000000000001,7.119154932824459e-18,1.5918914372148438e-18,0.04000000000000001,0.04000000000000001,20,cell
3.0,UMP_Q_C_full_largest_canonical_correlation,20,20,1.0,0.9556544570363166,0.01108921393085688,0.0024796236166433634,0.9504645451608033,0.9608443689118299,20,cell
3.0,UMP_Q_C_full_purity,20,20,1.0,0.45544605163035234,0.018614748990190083,0.004162384412616059,0.44673408093105293,0.46415802232965175,20,cell
3.0,UMP_Q_C_full_shared_energy,20,20,1.0,1.8217842065214094,0.07445899596076036,0.01664953765046424,1.7869363237242117,1.856632089318607,20,cell
3.0,UMP_Q_C_full_smallest_principal_angle,20,20,1.0,0.29612721428731753,0.0399050806277942,0.008923047293135781,0.2774510616641618,0.3148033669104733,20,cell
3.0,UMP_Q_C_largest_canonical_correlation,20,20,1.0,0.9383514727182621,0.021345178175178562,0.004772926939154418,0.9283616218246787,0.9483413236118455,20,cell
3.0,UMP_Q_C_purity,20,20,1.0,0.3260248209934736,0.014085446113942664,0.0031496015004186043,0.31943262929129707,0.3326170126956501,20,cell
3.0,UMP_Q_C_shared_energy,20,20,1.0,1.3040992839738943,0.056341784455770635,0.012598406001674414,1.2777305171651883,1.3304680507826003,20,cell
3.0,UMP_Q_C_smallest_principal_angle,20,20,1.0,0.3479669933942119,0.06054582437037325,0.0135384579045918,0.31963067534030754,0.37630331144811624,20,cell
3.0,UMP_Q_C_unique_capture,20,20,1.0,0.4399880482215848,0.013224366089037862,0.0029570581534431695,0.4337988543761442,0.44617724206702547,20,cell
3.0,UMP_Q_C_unique_dim_Q,20,20,1.0,3.0,0.0,0.0,3.0,3.0,20,cell
3.0,UMP_Q_C_unique_dim_U,20,20,1.0,4.0,0.0,0.0,4.0,4.0,20,cell
