contrast,r_a,r_b,metric,n_paired,mean_delta,sd_delta,mcse_delta,t_stat,p_value,ci95_low,ci95_high,deltas_by_replication
H-over: r=7 minus r=5,7,5,U4_Q_C_full_excess_purity,20,-0.4461903356466781,0.019129031524033887,0.004277381483147617,-104.31389797814758,0.0,-0.45514299798078656,-0.43723767331256963,0:-0.4656140618;1:-0.4524377733;2:-0.4210943802;3:-0.4391881084;4:-0.4674275336;5:-0.4384516026;6:-0.4270348544;7:-0.4325900747;8:-0.4330914911;9:-0.4743674911;10:-0.4363028538;11:-0.4467984769;12:-0.4388497938;13:-0.453794276;14:-0.4175536019;15:-0.4766144995;16:-0.4496531424;17:-0.4807461704;18:-0.4513243089;19:-0.420872218
H-over: r=7 minus r=5,7,5,U4_Q_C_full_expected_random_capture,20,0.0,0.0,0.0,,,0.0,0.0,0:0;1:0;2:0;3:0;4:0;5:0;6:0;7:0;8:0;9:0;10:0;11:0;12:0;13:0;14:0;15:0;16:0;17:0;18:0;19:0
H-over: r=7 minus r=5,7,5,U4_Q_C_full_expected_random_purity,20,0.0,0.0,0.0,,,0.0,0.0,0:0;1:0;2:0;3:0;4:0;5:0;6:0;7:0;8:0;9:0;10:0;11:0;12:0;13:0;14:0;15:0;16:0;17:0;18:0;19:0
H-over: r=7 minus r=5,7,5,U4_Q_C_full_largest_canonical_correlation,20,-0.45939712281173967,0.08025221045778758,0.01794493979282325,-25.60037136460425,2.220446049250313e-16,-0.49695631345302677,-0.42183793217045257,0:-0.348714105;1:-0.5761776907;2:-0.4713742087;3:-0.2878471798;4:-0.3956145582;5:-0.4077535841;6:-0.5613326493;7:-0.4651943822;8:-0.4862926661;9:-0.4454301334;10:-0.4022403751;11:-0.4230204136;12:-0.5361939452;13:-0.438657247;14:-0.3923212228;15:-0.5767119107;16:-0.4400609549;17:-0.4243995795;18:-0.558521647;19:-0.5500840028
H-over: r=7 minus r=5,7,5,U4_Q_C_full_purity,20,-0.44619033564667826,0.019129031524033925,0.0042773814831476254,-104.31389797814741,0.0,-0.4551429979807867,-0.4372376733125698,0:-0.4656140618;1:-0.4524377733;2:-0.4210943802;3:-0.4391881084;4:-0.4674275336;5:-0.4384516026;6:-0.4270348544;7:-0.4325900747;8:-0.4330914911;9:-0.4743674911;10:-0.4363028538;11:-0.4467984769;12:-0.4388497938;13:-0.453794276;14:-0.4175536019;15:-0.4766144995;16:-0.4496531424;17:-0.4807461704;18:-0.4513243089;19:-0.420872218
H-over: r=7 minus r=5,7,5,U4_Q_C_full_shared_energy,20,-1.7847613425867124,0.0765161260961357,0.017109525932590502,-104.31389797814737,0.0,-1.8205719919231462,-1.7489506932502785,0:-1.862456247;1:-1.809751093;2:-1.684377521;3:-1.756752434;4:-1.869710135;5:-1.753806411;6:-1.708139418;7:-1.730360299;8:-1.732365965;9:-1.897469964;10:-1.745211415;11:-1.787193908;12:-1.755399175;13:-1.815177104;14:-1.670214408;15:-1.906457998;16:-1.79861257;17:-1.922984682;18:-1.805297236;19:-1.683488872
H-over: r=7 minus r=5,7,5,U4_Q_C_full_smallest_principal_angle,20,0.7502002055292205,0.10784436870625955,0.024114733941774737,31.109619842399518,0.0,0.6997274873234306,0.8006729237350104,0:0.6370374979;1:0.9060326302;2:0.7408955709;3:0.494982255;4:0.6741103496;5:0.6578516261;6:0.8777068979;7:0.7648385233;8:0.765102252;9:0.7625518875;10:0.6628066208;11:0.7256216326;12:0.8199565517;13:0.7063906651;14:0.6370873602;15:0.9145147512;16:0.7419913929;17:0.7590622293;18:0.8760905276;19:0.8793728888
H-over: r=7 minus r=5,7,5,U4_Q_C_largest_canonical_correlation,20,-0.48077828050738586,0.0923877427233019,0.020658527301706458,-23.27263088437442,1.9984014443252818e-15,-0.5240170750785073,-0.4375394859362644,0:-0.311127906;1:-0.5903909642;2:-0.4793103755;3:-0.2900813018;4:-0.4586140608;5:-0.4142516829;6:-0.5946010275;7:-0.4915010247;8:-0.5060061406;9:-0.4523584592;10:-0.4182278151;11:-0.505574163;12:-0.6169773576;13:-0.5104826312;14:-0.3906929409;15:-0.5640228144;16:-0.4384387263;17:-0.4175585015;18:-0.5795750361;19:-0.5857726809
H-over: r=7 minus r=5,7,5,U4_Q_C_purity,20,-0.3191776054596927,0.019996146878472107,0.004471274370833386,-71.38403483841728,0.0,-0.32853609027170616,-0.30981912064767925,0:-0.3164414173;1:-0.3183545577;2:-0.2885501164;3:-0.3082584651;4:-0.3365296243;5:-0.3380055652;6:-0.3084262476;7:-0.3200102271;8:-0.2923716872;9:-0.3342035428;10:-0.3295729851;11:-0.3032816285;12:-0.3145117818;13:-0.3288609531;14:-0.2877655828;15:-0.3454876645;16:-0.3179687253;17:-0.3669733147;18:-0.3266475992;19:-0.3013304233
H-over: r=7 minus r=5,7,5,U4_Q_C_shared_energy,20,-1.2767104218387706,0.07998458751388841,0.01788509748333354,-71.38403483841728,0.0,-1.3141443610868244,-1.2392764825907168,0:-1.265765669;1:-1.273418231;2:-1.154200466;3:-1.233033861;4:-1.346118497;5:-1.352022261;6:-1.23370499;7:-1.280040908;8:-1.169486749;9:-1.336814171;10:-1.31829194;11:-1.213126514;12:-1.258047127;13:-1.315443812;14:-1.151062331;15:-1.381950658;16:-1.271874901;17:-1.467893259;18:-1.306590397;19:-1.205321693
