run_id,replication,structural_seed,r_used,branch,n_origins_total,n_origins_successful,n_origins_failed,failure_rate,success_coverage,MSPE_complete_numerator,MSPE_complete_denominator,MSPE_complete,MSPE_conditional_numerator,MSPE_conditional_denominator,MSPE_conditional,ARI_coverage,mean_ARI_conditional,mean_d_hat,sd_d_hat_within,Pr_d_hat_equals_K_true_within,actual_spectral_radius
formal_preferred_20260816,3,3141226789,1,primary_fixed_K,499,499,0,0.0,1.0,110300.74427974602,49900.0,2.210435757109139,110300.74427974602,49900.0,2.210435757109139,1.0,-0.003854397725303511,5.152304609218437,0.3596764769498823,0.0,0.9373965708257448
formal_preferred_20260816,3,3141226789,1,robustness_K_equals_d_hat,499,499,0,0.0,1.0,111051.5750467159,49900.0,2.22548246586605,111051.5750467159,49900.0,2.22548246586605,1.0,-0.004344608726739112,5.152304609218437,0.3596764769498823,0.0,0.9373965708257448
formal_preferred_20260816,3,3141226789,2,primary_fixed_K,499,499,0,0.0,1.0,106417.67873483096,49900.0,2.1326188123212617,106417.67873483096,49900.0,2.1326188123212617,1.0,0.013745751582480146,5.0,0.0,0.0,0.9373965708257448
formal_preferred_20260816,3,3141226789,2,robustness_K_equals_d_hat,499,499,0,0.0,1.0,106837.33009277633,49900.0,2.1410286591738745,106837.33009277633,49900.0,2.1410286591738745,1.0,0.014460399445428204,5.0,0.0,0.0,0.9373965708257448
formal_preferred_20260816,3,3141226789,3,primary_fixed_K,499,499,0,0.0,1.0,101876.60166225985,49900.0,2.0416152637727425,101876.60166225985,49900.0,2.0416152637727425,1.0,0.07053290048889795,4.0,0.0,1.0,0.9373965708257448
formal_preferred_20260816,3,3141226789,3,robustness_K_equals_d_hat,499,499,0,0.0,1.0,101876.60166225985,49900.0,2.0416152637727425,101876.60166225985,49900.0,2.0416152637727425,1.0,0.07053290048889795,4.0,0.0,1.0,0.9373965708257448
formal_preferred_20260816,3,3141226789,4,primary_fixed_K,499,499,0,0.0,1.0,96574.03101881832,49900.0,1.9353513230224113,96574.03101881832,49900.0,1.9353513230224113,1.0,0.3456407561950956,3.0,0.0,0.0,0.9373965708257448
formal_preferred_20260816,3,3141226789,4,robustness_K_equals_d_hat,499,499,0,0.0,1.0,96597.70043657612,49900.0,1.9358256600516257,96597.70043657612,49900.0,1.9358256600516257,1.0,0.3247478623434534,3.0,0.0,0.0,0.9373965708257448
formal_preferred_20260816,3,3141226789,5,primary_fixed_K,499,499,0,0.0,1.0,96303.05811849117,49900.0,1.9299210043785806,96303.05811849117,49900.0,1.9299210043785806,1.0,0.5680372764445476,2.0,0.0,0.0,0.9373965708257448
formal_preferred_20260816,3,3141226789,5,robustness_K_equals_d_hat,499,499,0,0.0,1.0,96592.42860687949,49900.0,1.9357200121619136,96592.42860687949,49900.0,1.9357200121619136,1.0,0.308463097217585,2.0,0.0,0.0,0.9373965708257448
formal_preferred_20260816,3,3141226789,6,primary_fixed_K,499,499,0,0.0,1.0,96066.93249843548,49900.0,1.925189028024759,96066.93249843548,49900.0,1.925189028024759,1.0,0.30657089373518265,2.2605210420841684,0.4439062288571647,0.0,0.9373965708257448
formal_preferred_20260816,3,3141226789,6,robustness_K_equals_d_hat,499,499,0,0.0,1.0,96617.7941377834,49900.0,1.9362283394345372,96617.7941377834,49900.0,1.9362283394345372,1.0,0.252884737926157,2.2605210420841684,0.4439062288571647,0.0,0.9373965708257448
formal_preferred_20260816,3,3141226789,7,primary_fixed_K,499,499,0,0.0,1.0,95294.19572617192,49900.0,1.90970332116577,95294.19572617192,49900.0,1.90970332116577,1.0,0.08009060477828343,2.400801603206413,0.5106096823487267,0.0,0.9373965708257448
formal_preferred_20260816,3,3141226789,7,robustness_K_equals_d_hat,499,499,0,0.0,1.0,96000.6447502345,49900.0,1.9238606162371643,96000.6447502345,49900.0,1.9238606162371643,1.0,0.069576121349573,2.400801603206413,0.5106096823487267,0.0,0.9373965708257448
formal_preferred_20260816,3,3141226789,8,primary_fixed_K,499,499,0,0.0,1.0,95343.02044656212,49900.0,1.9106817724761949,95343.02044656212,49900.0,1.9106817724761949,1.0,0.031872716137889764,2.472945891783567,0.5421672439013582,0.0,0.9373965708257448
formal_preferred_20260816,3,3141226789,8,robustness_K_equals_d_hat,499,499,0,0.0,1.0,96046.01746133092,49900.0,1.9247698890046276,96046.01746133092,49900.0,1.9247698890046276,1.0,0.026154235927506105,2.472945891783567,0.5421672439013582,0.0,0.9373965708257448
