branch,r_used,reference_r,metric,n_pairs,mean_paired_difference,sd_paired_difference,mcse,ci95_low,ci95_high
robustness_K_equals_d_hat,2,5,MSPE_conditional,20,0.15051363027610648,0.02534314309481064,0.0056668990723500985,0.13865267420377386,0.1623745863484391
robustness_K_equals_d_hat,2,5,mean_ARI_conditional,20,-0.316230100778902,0.041475408770533226,0.009274183340550326,-0.33564118959566625,-0.2968190119621378
robustness_K_equals_d_hat,2,5,mean_d_hat,20,2.9243486973947896,0.16735551022948286,0.03742182972822851,2.8460239076136373,3.002673487175942
robustness_K_equals_d_hat,3,5,MSPE_complete,20,0.07939304193248473,0.016361948351909662,0.0036586428759210654,0.07173541438669251,0.08705066947827694
robustness_K_equals_d_hat,3,5,MSPE_conditional,20,0.07939304193248473,0.016361948351909662,0.0036586428759210654,0.07173541438669251,0.08705066947827694
robustness_K_equals_d_hat,3,5,mean_ARI_conditional,20,-0.2601519652737778,0.06706963554119728,0.014997226429625301,-0.29154152094039093,-0.2287624096071647
robustness_K_equals_d_hat,3,5,mean_d_hat,20,1.9488977955911824,0.13305561620769174,0.02975214026285215,1.8866258503509041,2.0111697408314604
robustness_K_equals_d_hat,4,5,MSPE_complete,20,0.00409751516788297,0.012897983947215235,0.0028840768878674325,-0.0019389271331864888,0.010133957468952428
robustness_K_equals_d_hat,4,5,MSPE_conditional,20,0.00409751516788297,0.012897983947215235,0.0028840768878674325,-0.0019389271331864888,0.010133957468952428
robustness_K_equals_d_hat,4,5,mean_ARI_conditional,20,-0.12045173137713391,0.13221488750834062,0.029564147610613743,-0.18233020347422504,-0.058573259280042776
robustness_K_equals_d_hat,4,5,mean_d_hat,20,0.9488977955911823,0.13305561620769174,0.02975214026285215,0.8866258503509041,1.0111697408314604
robustness_K_equals_d_hat,5,5,MSPE_complete,20,0.0,0.0,0.0,0.0,0.0
robustness_K_equals_d_hat,5,5,MSPE_conditional,20,0.0,0.0,0.0,0.0,0.0
robustness_K_equals_d_hat,5,5,mean_ARI_conditional,20,0.0,0.0,0.0,0.0,0.0
robustness_K_equals_d_hat,5,5,mean_d_hat,20,0.0,0.0,0.0,0.0,0.0
robustness_K_equals_d_hat,6,5,MSPE_complete,20,0.026131609865755336,0.019997921548676204,0.0044716711991547855,0.016772294482519726,0.035490925248990945
robustness_K_equals_d_hat,6,5,MSPE_conditional,20,0.026131609865755336,0.019997921548676204,0.0044716711991547855,0.016772294482519726,0.035490925248990945
robustness_K_equals_d_hat,6,5,mean_ARI_conditional,20,-0.15532647197944477,0.10296368560794246,0.02302338002332761,-0.20351496018205212,-0.1071379837768374
robustness_K_equals_d_hat,6,5,mean_d_hat,20,-0.3159318637274549,0.39027050439545813,0.08726713774413748,-0.49858408218529393,-0.13327964526961592
robustness_K_equals_d_hat,7,5,MSPE_complete,20,-0.00415760400581906,0.008787721798341018,0.0019649943308447213,-0.00827038440705293,-4.482360458519033e-05
robustness_K_equals_d_hat,7,5,MSPE_conditional,20,-0.00415760400581906,0.008787721798341018,0.0019649943308447213,-0.00827038440705293,-4.482360458519033e-05
robustness_K_equals_d_hat,7,5,mean_ARI_conditional,20,-0.3140681074052766,0.043427391867342215,0.009710660030089871,-0.33439275243243555,-0.2937434623781176
robustness_K_equals_d_hat,7,5,mean_d_hat,20,0.23286573146292575,0.32040955132213933,0.07164575373965111,0.0829094454896252,0.3828220174362263
robustness_K_equals_d_hat,8,5,MSPE_complete,20,-0.0023133950063461417,0.008348415218326414,0.0018667623932571609,-0.006220573599298117,0.0015937835866058339
robustness_K_equals_d_hat,8,5,MSPE_conditional,20,-0.0023133950063461417,0.008348415218326414,0.0018667623932571609,-0.006220573599298117,0.0015937835866058339
robustness_K_equals_d_hat,8,5,mean_ARI_conditional,20,-0.32358927144925154,0.040541120184175355,0.00906527006158049,-0.3425630997478466,-0.3046154431506565
robustness_K_equals_d_hat,8,5,mean_d_hat,20,0.2812625250501001,0.30360992959172556,0.06788924412110232,0.13916870406903817,0.423356346031162
robustness_K_equals_d_hat,9,5,MSPE_complete,20,-0.0021230585133931055,0.006759996835046723,0.0015115812450847905,-0.005286834419547964,0.0010407173927617528
robustness_K_equals_d_hat,9,5,MSPE_conditional,20,-0.0021230585133931055,0.006759996835046723,0.0015115812450847905,-0.005286834419547964,0.0010407173927617528
robustness_K_equals_d_hat,9,5,mean_ARI_conditional,20,-0.3265242487784824,0.04086390712432777,0.009137447415623483,-0.34564914601527297,-0.30739935154169185
