dgp,K_branch,variant,baing_branch,r_used,mean_r_next,modal_r_next,p_next_eq_r_true,mean_d_hat,mean_ARI,n
weak_sbm,primary_fixed_K,B_absolute,released,1.0,6.0,6,0.0,5.9411764705882355,0.020490439416780224,85
weak_sbm,primary_fixed_K,B_absolute,released,2.0,6.011764705882353,6,0.0,5.0,0.04314361586387678,85
weak_sbm,primary_fixed_K,B_absolute,released,3.0,6.0,6,0.0,4.0,0.1322066897896781,85
weak_sbm,primary_fixed_K,B_absolute,released,4.0,6.023529411764706,6,0.0,3.0,0.2324510666515922,85
weak_sbm,primary_fixed_K,B_absolute,released,5.0,6.576470588235294,7,0.0,2.070588235294118,0.05176721188419181,85
weak_sbm,primary_fixed_K,B_absolute,released,6.0,6.741176470588235,7,0.0,3.1411764705882352,0.040530910181994846,85
weak_sbm,primary_fixed_K,B_absolute,released,7.0,6.9411764705882355,7,0.0,4.788235294117647,0.005273008873394979,85
weak_sbm,primary_fixed_K,B_absolute,released,8.0,6.9411764705882355,7,0.0,4.882352941176471,0.0022044028716907554,85
weak_sbm,primary_fixed_K,B_absolute,released,9.0,6.9411764705882355,7,0.0,5.117647058823529,-0.0010832510403007175,85
weak_sbm,primary_fixed_K,B_absolute,zero_fixed,1.0,6.0,6,0.0,5.9411764705882355,0.020490439416780224,85
weak_sbm,primary_fixed_K,B_absolute,zero_fixed,2.0,6.011764705882353,6,0.0,5.0,0.04314361586387678,85
weak_sbm,primary_fixed_K,B_absolute,zero_fixed,3.0,6.0,6,0.0,4.0,0.1322066897896781,85
weak_sbm,primary_fixed_K,B_absolute,zero_fixed,4.0,6.023529411764706,6,0.0,3.0,0.2324510666515922,85
weak_sbm,primary_fixed_K,B_absolute,zero_fixed,5.0,6.576470588235294,7,0.0,2.070588235294118,0.05176721188419181,85
weak_sbm,primary_fixed_K,B_absolute,zero_fixed,6.0,6.741176470588235,7,0.0,3.1411764705882352,0.040530910181994846,85
weak_sbm,primary_fixed_K,B_absolute,zero_fixed,7.0,6.9411764705882355,7,0.0,4.788235294117647,0.005273008873394979,85
weak_sbm,primary_fixed_K,B_absolute,zero_fixed,8.0,6.9411764705882355,7,0.0,4.882352941176471,0.0022044028716907554,85
weak_sbm,primary_fixed_K,B_absolute,zero_fixed,9.0,6.9411764705882355,7,0.0,5.117647058823529,-0.0010832510403007175,85
weak_sbm,primary_fixed_K,C_criterion,released,1.0,6.91764705882353,7,0.011764705882352941,5.9411764705882355,0.020490439416780224,85
weak_sbm,primary_fixed_K,C_criterion,released,2.0,6.9411764705882355,7,0.0,5.0,0.04314361586387678,85
weak_sbm,primary_fixed_K,C_criterion,released,3.0,6.91764705882353,7,0.011764705882352941,4.0,0.1322066897896781,85
weak_sbm,primary_fixed_K,C_criterion,released,4.0,6.870588235294117,7,0.03529411764705882,3.0,0.2324510666515922,85
weak_sbm,primary_fixed_K,C_criterion,released,5.0,6.752941176470588,7,0.03529411764705882,2.070588235294118,0.05176721188419181,85
weak_sbm,primary_fixed_K,C_criterion,released,6.0,6.788235294117647,7,0.0,3.1411764705882352,0.040530910181994846,85
weak_sbm,primary_fixed_K,C_criterion,released,7.0,6.952941176470588,7,0.0,4.788235294117647,0.005273008873394979,85
weak_sbm,primary_fixed_K,C_criterion,released,8.0,6.9411764705882355,7,0.0,4.882352941176471,0.0022044028716907554,85
weak_sbm,primary_fixed_K,C_criterion,released,9.0,6.964705882352941,7,0.0,5.117647058823529,-0.0010832510403007175,85
weak_sbm,primary_fixed_K,C_criterion,zero_fixed,1.0,6.91764705882353,7,0.011764705882352941,5.9411764705882355,0.020490439416780224,85
weak_sbm,primary_fixed_K,C_criterion,zero_fixed,2.0,6.9411764705882355,7,0.0,5.0,0.04314361586387678,85
weak_sbm,primary_fixed_K,C_criterion,zero_fixed,3.0,6.91764705882353,7,0.011764705882352941,4.0,0.1322066897896781,85
weak_sbm,primary_fixed_K,C_criterion,zero_fixed,4.0,6.870588235294117,7,0.03529411764705882,3.0,0.2324510666515922,85
weak_sbm,primary_fixed_K,C_criterion,zero_fixed,5.0,6.752941176470588,7,0.03529411764705882,2.070588235294118,0.05176721188419181,85
weak_sbm,primary_fixed_K,C_criterion,zero_fixed,6.0,6.788235294117647,7,0.0,3.1411764705882352,0.040530910181994846,85
weak_sbm,primary_fixed_K,C_criterion,zero_fixed,7.0,6.952941176470588,7,0.0,4.788235294117647,0.005273008873394979,85
weak_sbm,primary_fixed_K,C_criterion,zero_fixed,8.0,6.9411764705882355,7,0.0,4.882352941176471,0.0022044028716907554,85
weak_sbm,primary_fixed_K,C_criterion,zero_fixed,9.0,6.964705882352941,7,0.0,5.117647058823529,-0.0010832510403007175,85
weak_sbm,robustness_K_equals_d_hat,A_incremental,released,1.0,6.0,6,0.0,5.9411764705882355,0.02983814697099407,85
weak_sbm,robustness_K_equals_d_hat,A_incremental,released,2.0,6.011764705882353,6,0.0,5.0,0.05388856906469799,85
weak_sbm,robustness_K_equals_d_hat,A_incremental,released,3.0,6.0,6,0.0,4.0,0.1322066897896781,85
weak_sbm,robustness_K_equals_d_hat,A_incremental,released,4.0,6.023529411764706,6,0.0,3.0,0.2326188754459205,85
weak_sbm,robustness_K_equals_d_hat,A_incremental,released,5.0,6.623529411764705,7,0.0,2.070588235294118,0.046718548248492656,85
