dgp,K_branch,variant,baing_branch,r0,replication,reached,n_iter
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,2,19,1.0,2.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,3,0,1.0,2.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,3,1,1.0,2.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,3,2,1.0,2.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,3,3,1.0,2.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,3,4,1.0,2.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,3,5,1.0,2.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,3,6,1.0,2.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,3,7,1.0,2.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,3,8,1.0,2.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,3,9,1.0,2.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,3,10,1.0,2.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,3,11,1.0,2.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,3,12,1.0,2.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,3,13,1.0,2.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,3,14,1.0,2.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,3,15,0.6,2.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,3,16,1.0,2.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,3,17,1.0,2.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,3,18,1.0,2.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,3,19,1.0,2.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,4,0,1.0,2.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,4,1,1.0,2.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,4,2,1.0,2.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,4,3,1.0,2.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,4,4,1.0,2.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,4,5,1.0,2.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,4,6,1.0,2.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,4,7,1.0,2.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,4,8,1.0,2.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,4,9,1.0,2.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,4,10,1.0,2.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,4,11,1.0,2.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,4,12,1.0,2.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,4,13,1.0,2.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,4,14,1.0,2.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,4,15,1.0,2.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,4,16,1.0,2.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,4,17,1.0,2.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,4,18,1.0,2.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,4,19,1.0,2.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,5,0,1.0,1.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,5,1,1.0,1.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,5,2,1.0,1.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,5,3,1.0,1.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,5,4,1.0,1.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,5,5,1.0,1.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,5,6,1.0,1.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,5,7,1.0,1.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,5,8,1.0,1.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,5,9,1.0,1.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,5,10,1.0,1.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,5,11,1.0,1.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,5,12,1.0,1.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,5,13,1.0,1.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,5,14,1.0,1.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,5,15,1.0,1.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,5,16,1.0,1.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,5,17,1.0,1.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,5,18,1.0,1.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,5,19,1.0,1.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,6,0,0.0,1.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,6,1,0.0,1.2
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,6,2,0.0,1.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,6,3,0.0,1.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,6,4,0.0,1.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,6,5,0.0,1.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,6,6,0.0,1.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,6,7,0.0,1.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,6,8,0.0,1.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,6,9,0.0,1.2
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,6,10,0.0,1.4
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,6,11,0.0,1.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,6,12,0.0,1.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,6,13,0.0,1.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,6,14,0.0,1.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,6,15,0.0,1.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,6,16,0.0,1.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,6,17,0.0,1.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,6,18,0.0,1.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,6,19,0.0,1.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,7,0,0.0,1.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,7,1,0.0,1.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,7,2,0.0,1.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,7,3,0.0,1.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,7,4,0.0,1.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,7,5,0.0,1.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,7,6,0.0,1.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,7,7,0.0,1.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,7,8,0.0,1.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,7,9,0.0,1.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,7,10,0.0,1.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,7,11,0.0,1.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,7,12,0.0,1.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,7,13,0.0,1.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,7,14,0.0,1.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,7,15,0.0,1.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,7,16,0.0,1.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,7,17,0.0,1.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,7,18,0.0,1.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,7,19,0.0,1.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,8,0,0.0,1.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,8,1,0.0,1.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,8,2,0.0,1.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,8,3,0.0,1.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,8,4,0.0,1.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,8,5,0.0,1.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,8,6,0.0,1.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,8,7,0.0,1.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,8,8,0.0,1.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,8,9,0.0,1.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,8,10,0.0,1.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,8,11,0.0,1.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,8,12,0.0,1.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,8,13,0.0,1.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,8,14,0.0,1.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,8,15,0.0,1.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,8,16,0.0,1.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,8,17,0.0,1.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,8,18,0.0,1.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,8,19,0.0,1.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,9,0,0.0,1.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,9,1,0.0,1.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,9,2,0.0,1.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,9,3,0.0,1.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,9,4,0.0,1.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,9,5,0.0,1.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,9,6,0.0,1.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,9,7,0.0,1.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,9,8,0.0,1.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,9,9,0.0,1.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,9,10,0.0,1.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,9,11,0.0,1.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,9,12,0.0,1.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,9,13,0.0,1.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,9,14,0.0,1.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,9,15,0.0,1.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,9,16,0.0,1.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,9,17,0.0,1.0
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,9,18,0.0,1.0
