run_id,dgp,replication,structural_seed,actual_spectral_radius,is_stationary,origin_index,r0_released,r0_zero_fixed,r0_argmin_index,r0_ic_tie,r0_ER,r0_GR,status,error_message
formal_init_cleanup_20260819,strong_sbm,17,1621160096,0.9252181344303488,True,374.0,6.0,6.0,5.0,False,7.0,7.0,ok,
formal_init_cleanup_20260819,strong_sbm,17,1621160096,0.9252181344303488,True,498.0,6.0,6.0,5.0,False,7.0,7.0,ok,
formal_init_cleanup_20260819,strong_sbm,18,3367057627,0.9191845537859016,True,0.0,7.0,7.0,6.0,False,7.0,7.0,ok,
formal_init_cleanup_20260819,strong_sbm,18,3367057627,0.9191845537859016,True,124.0,7.0,7.0,6.0,False,7.0,7.0,ok,
formal_init_cleanup_20260819,strong_sbm,18,3367057627,0.9191845537859016,True,249.0,6.0,6.0,5.0,False,7.0,7.0,ok,
formal_init_cleanup_20260819,strong_sbm,18,3367057627,0.9191845537859016,True,374.0,6.0,6.0,5.0,False,4.0,7.0,ok,
formal_init_cleanup_20260819,strong_sbm,18,3367057627,0.9191845537859016,True,498.0,6.0,6.0,5.0,False,4.0,7.0,ok,
formal_init_cleanup_20260819,strong_sbm,19,2147057047,0.8999999999999995,True,0.0,6.0,6.0,5.0,False,4.0,5.0,ok,
formal_init_cleanup_20260819,strong_sbm,19,2147057047,0.8999999999999995,True,124.0,6.0,6.0,5.0,False,5.0,5.0,ok,
formal_init_cleanup_20260819,strong_sbm,19,2147057047,0.8999999999999995,True,249.0,5.0,5.0,4.0,False,4.0,5.0,ok,
formal_init_cleanup_20260819,strong_sbm,19,2147057047,0.8999999999999995,True,374.0,5.0,5.0,4.0,False,5.0,5.0,ok,
formal_init_cleanup_20260819,strong_sbm,19,2147057047,0.8999999999999995,True,498.0,6.0,6.0,5.0,False,5.0,5.0,ok,
formal_init_cleanup_20260819,weak_sbm,0,3674827978,0.9668569041683176,True,0.0,7.0,7.0,6.0,False,7.0,7.0,ok,
formal_init_cleanup_20260819,weak_sbm,0,3674827978,0.9668569041683176,True,124.0,7.0,7.0,6.0,False,7.0,7.0,ok,
formal_init_cleanup_20260819,weak_sbm,0,3674827978,0.9668569041683176,True,249.0,7.0,7.0,6.0,False,7.0,7.0,ok,
formal_init_cleanup_20260819,weak_sbm,0,3674827978,0.9668569041683176,True,374.0,7.0,7.0,6.0,False,7.0,7.0,ok,
formal_init_cleanup_20260819,weak_sbm,0,3674827978,0.9668569041683176,True,498.0,7.0,7.0,6.0,False,7.0,7.0,ok,
formal_init_cleanup_20260819,weak_sbm,1,162215,0.9933385344041334,True,0.0,7.0,7.0,6.0,False,7.0,7.0,ok,
formal_init_cleanup_20260819,weak_sbm,1,162215,0.9933385344041334,True,124.0,7.0,7.0,6.0,False,7.0,7.0,ok,
formal_init_cleanup_20260819,weak_sbm,1,162215,0.9933385344041334,True,249.0,7.0,7.0,6.0,False,7.0,7.0,ok,
formal_init_cleanup_20260819,weak_sbm,1,162215,0.9933385344041334,True,374.0,7.0,7.0,6.0,False,7.0,7.0,ok,
formal_init_cleanup_20260819,weak_sbm,1,162215,0.9933385344041334,True,498.0,7.0,7.0,6.0,False,7.0,7.0,ok,
formal_init_cleanup_20260819,weak_sbm,2,2951145736,0.8999999999999979,True,0.0,6.0,6.0,5.0,False,6.0,6.0,ok,
formal_init_cleanup_20260819,weak_sbm,2,2951145736,0.8999999999999979,True,124.0,6.0,6.0,5.0,False,6.0,6.0,ok,
formal_init_cleanup_20260819,weak_sbm,2,2951145736,0.8999999999999979,True,249.0,7.0,7.0,6.0,False,6.0,6.0,ok,
formal_init_cleanup_20260819,weak_sbm,2,2951145736,0.8999999999999979,True,374.0,7.0,7.0,6.0,False,6.0,7.0,ok,
formal_init_cleanup_20260819,weak_sbm,2,2951145736,0.8999999999999979,True,498.0,7.0,7.0,6.0,False,6.0,7.0,ok,
