dgp,K_branch,variant,baing_branch,r0,n_worlds,P_reach_r_true,sd,mcse,ci_low,ci_high,mean_n_iter
strong_sbm,robustness_K_equals_d_hat,B_absolute,released,7,20,0.05,0.14327007988227577,0.03203616377585937,-0.017052461393836302,0.11705246139383631,1.42
strong_sbm,robustness_K_equals_d_hat,B_absolute,released,8,20,0.04,0.13917047478769184,0.031119464208619958,-0.025133787148938568,0.10513378714893856,2.0200000000000005
strong_sbm,robustness_K_equals_d_hat,B_absolute,released,9,20,0.03,0.1341640786499874,0.03,-0.03279072163224789,0.09279072163224789,2.0100000000000002
strong_sbm,robustness_K_equals_d_hat,B_absolute,zero_fixed,1,20,0.52,0.4514304749174678,0.10094292290304717,0.3087240342416435,0.7312759657583565,2.0100000000000002
strong_sbm,robustness_K_equals_d_hat,B_absolute,zero_fixed,2,20,0.7899999999999999,0.3210181172129501,0.07178183320971517,0.6397588964225442,0.9402411035774556,2.0100000000000002
strong_sbm,robustness_K_equals_d_hat,B_absolute,zero_fixed,3,20,0.9800000000000001,0.08944271909999157,0.019999999999999997,0.9381395189118349,1.0218604810881653,2.0
strong_sbm,robustness_K_equals_d_hat,B_absolute,zero_fixed,4,20,1.0,0.0,0.0,1.0,1.0,2.0
strong_sbm,robustness_K_equals_d_hat,B_absolute,zero_fixed,5,20,1.0,0.0,0.0,1.0,1.0,1.0
strong_sbm,robustness_K_equals_d_hat,B_absolute,zero_fixed,6,20,0.01,0.0447213595499958,0.010000000000000002,-0.010930240544082632,0.03093024054408263,1.02
strong_sbm,robustness_K_equals_d_hat,B_absolute,zero_fixed,7,20,0.05,0.14327007988227577,0.03203616377585937,-0.017052461393836302,0.11705246139383631,1.42
strong_sbm,robustness_K_equals_d_hat,B_absolute,zero_fixed,8,20,0.04,0.13917047478769184,0.031119464208619958,-0.025133787148938568,0.10513378714893856,2.0200000000000005
strong_sbm,robustness_K_equals_d_hat,B_absolute,zero_fixed,9,20,0.03,0.1341640786499874,0.03,-0.03279072163224789,0.09279072163224789,2.0100000000000002
strong_sbm,robustness_K_equals_d_hat,C_criterion,released,1,20,0.8699999999999999,0.29217874846167646,0.06533315431411206,0.7332561364701964,1.0067438635298034,2.0
strong_sbm,robustness_K_equals_d_hat,C_criterion,released,2,20,0.96,0.10462967275611937,0.02339590607462407,0.9110318058111354,1.0089681941888646,2.0
strong_sbm,robustness_K_equals_d_hat,C_criterion,released,3,20,0.99,0.04472135954999579,0.009999999999999998,0.9690697594559173,1.0109302405440825,2.0
strong_sbm,robustness_K_equals_d_hat,C_criterion,released,4,20,1.0,0.0,0.0,1.0,1.0,2.0
strong_sbm,robustness_K_equals_d_hat,C_criterion,released,5,20,1.0,0.0,0.0,1.0,1.0,1.0
strong_sbm,robustness_K_equals_d_hat,C_criterion,released,6,20,0.030000000000000006,0.07326950970650466,0.016383560438182506,-0.004291186093967558,0.06429118609396757,1.0699999999999998
strong_sbm,robustness_K_equals_d_hat,C_criterion,released,7,20,0.02,0.06155870112510925,0.013764944032233706,-0.008810358967048616,0.04881035896704862,1.2
strong_sbm,robustness_K_equals_d_hat,C_criterion,released,8,20,0.030000000000000006,0.09787209698591859,0.021884866196096624,-0.01580555137593649,0.0758055513759365,2.0599999999999996
strong_sbm,robustness_K_equals_d_hat,C_criterion,released,9,20,0.04,0.10462967275611938,0.023395906074624072,-0.008968194188864582,0.08896819418886459,2.0799999999999996
strong_sbm,robustness_K_equals_d_hat,C_criterion,zero_fixed,1,20,0.8699999999999999,0.29217874846167646,0.06533315431411206,0.7332561364701964,1.0067438635298034,2.0
