run_id,replication,r_used,forecast_origin_index,eigen_rank,eigenvalue,exceeds_mp_edge,sq_projection_Q_F,sq_projection_Q_F_unique,sq_projection_Q_C,sq_projection_Q_C_unique,sq_projection_Q_C_full,sq_projection_Q_P4
fullgrid_formal_20260817,15,2,186,8,0.9079675998128055,False,0.0023844178474488453,0.003964072086793321,0.023779666837609886,0.025359321076954308,0.027440864579840508,0.02749837627504839
fullgrid_formal_20260817,15,4,186,1,11.251914723421702,True,0.9619241595159406,0.9503082497431843,0.025650691024732004,0.014034781251976184,0.038562998806014076,0.03659129013376712
fullgrid_formal_20260817,15,4,186,2,8.667726550574445,True,0.018856082826439982,0.11059207901176846,0.6744347825235647,0.7661707787088932,0.9156574059756967,0.917453116250114
fullgrid_formal_20260817,15,4,186,3,4.536678997523413,True,0.004680277100480322,0.03040348340825489,0.6024320510673328,0.6281552573751067,0.8983322093051662,0.9219511358491411
fullgrid_formal_20260817,15,4,186,4,1.4691700531668068,False,0.00011467059224168473,0.0046613381575757356,0.1647728020837382,0.16931946964907182,0.21156834446301992,0.23282230612515087
fullgrid_formal_20260817,15,4,186,5,1.4243960599832775,False,0.0002444574074387469,0.000714605626872992,0.011352684814650226,0.011822833034084435,0.011554450955075957,0.022295600351803883
fullgrid_formal_20260817,15,4,186,6,1.4035654137962008,False,0.0007049483142242858,0.0014765465781583706,0.005477422585501249,0.006249020849435313,0.005850935823185771,0.009900161608790998
fullgrid_formal_20260817,15,4,186,7,1.3929699515498002,False,0.00043180258295153027,0.0020416659796885462,0.018570817541983378,0.020180680938720354,0.01885984013068216,0.015052206761000097
fullgrid_formal_20260817,15,4,186,8,1.3610920520536816,False,4.648442264600713e-05,0.00471855518068006,0.037810988475696555,0.04248305923373049,0.038801891079793226,0.035887978996976856
fullgrid_formal_20260817,15,6,186,1,5.296945341994906,True,0.002884901138698699,0.026331662800954277,0.6131120572819708,0.6365588189442257,0.8936938515688916,0.9223992602416644
fullgrid_formal_20260817,15,6,186,2,1.7211219821381976,False,0.0003493242788992707,0.0028216437495704426,0.07709559793765464,0.0795679174083257,0.08540490234738678,0.07780856441903533
fullgrid_formal_20260817,15,6,186,3,1.6799387432368293,False,0.00023714362214814706,0.0012481218770608762,0.009713099969302913,0.010724078224215625,0.011830987381623139,0.011114354772381124
fullgrid_formal_20260817,15,6,186,4,1.6199569696988763,False,0.00025300991692756296,0.00048129189341056196,0.002917022311052873,0.003145304287535869,0.003042079520023432,0.006575540110170937
fullgrid_formal_20260817,15,6,186,5,1.615520098310305,False,4.998277758260637e-05,0.001795952740449538,0.05080295170413149,0.0525489216669984,0.06279331837246653,0.08985247874598537
fullgrid_formal_20260817,15,6,186,6,1.5799946025519256,False,0.00044933973873523947,0.001032730592057134,0.017628623773882614,0.018212014627204478,0.019053105056062565,0.015130310739688138
fullgrid_formal_20260817,15,6,186,7,1.5654328579287777,False,0.00017327344877512627,0.004347356723212229,0.03584918210095774,0.04002326537539479,0.0364154539673345,0.04573018520526282
fullgrid_formal_20260817,15,6,186,8,1.5365422446963555,False,0.0001035331271978439,0.002020604874844396,0.03438339185601861,0.036300463603665095,0.05690008056347326,0.06246007059557248
fullgrid_formal_20260817,15,8,186,1,1.7618583409690112,True,0.00012650979960272178,0.0010815634221154518,0.007811193633171879,0.008766247255684603,0.011987156378933552,0.0075724401964497295
fullgrid_formal_20260817,15,8,186,2,1.7322326687962522,True,0.00019547764343237558,0.001017213766213671,0.029657973546873197,0.030479709669654444,0.03723694542945979,0.04755572712416969
fullgrid_formal_20260817,15,8,186,3,1.7022685777917312,False,6.495403501674474e-05,0.000162332673622723,0.0012057258474647218,0.0013031044860706946,0.003314263191206406,0.0005929724251420902
fullgrid_formal_20260817,15,8,186,4,1.6822397295386256,False,0.00019390705337667667,0.000943724911800394,0.006654429801955893,0.007404247660379606,0.007367824393801971,0.009848687771039474
fullgrid_formal_20260817,15,8,186,5,1.6546040366179415,False,0.0002320109247754377,0.002003380962808021,0.018413049162878378,0.02018441920091093,0.025490257559580495,0.03009990761264148
fullgrid_formal_20260817,15,8,186,6,1.6360421642710672,False,0.00012740353280474992,0.00043484831599511207,0.0029901443777274996,0.0032975891609178564,0.0057256181352898115,0.009428730375097161
fullgrid_formal_20260817,15,8,186,7,1.6351086219614093,False,0.0001471762650811135,0.0007219256380095325,0.004220328905983357,0.0047950782789117725,0.004460295089651034,0.004317131216818391
fullgrid_formal_20260817,15,8,186,8,1.6253254643994697,False,0.00016563363700956542,0.002400143129558525,0.07676558020635713,0.07900008969890607,0.10675900783738551,0.1327524510206546
fullgrid_formal_20260817,15,9,186,1,1.760225915323346,True,0.00018854638629739047,0.0009375943863343668,0.02520520548961565,0.025954253489652537,0.028142309414003915,0.043447936709281404
fullgrid_formal_20260817,15,9,186,2,1.7364493908890333,True,7.05533754510444e-05,0.0003803230464253346,0.005556885990943224,0.005866655661917504,0.013287230892314142,0.0038788077718800618
fullgrid_formal_20260817,15,9,186,3,1.714751912965076,False,0.00010466216772012533,0.0008523088888749536,0.005572688244535403,0.006320334965690232,0.006022308257442454,0.008242587707687729
fullgrid_formal_20260817,15,9,186,4,1.684606260368654,False,9.709401321879633e-05,0.0011818906527087058,0.010911679831331853,0.011996476470821728,0.015866443443055527,0.015978102460126833
fullgrid_formal_20260817,15,9,186,5,1.6644192786431435,False,0.00023643617510748138,0.0020700814527476155,0.01158842674460628,0.013422072022246385,0.016045539131382694,0.02771974671019333
fullgrid_formal_20260817,15,9,186,6,1.660179689221945,False,0.00013877406110913783,0.0005939522835370866,0.0022527273023614748,0.002707905524789412,0.0022667235405678912,0.0016519424394488232
fullgrid_formal_20260817,15,9,186,7,1.649861771611173,False,0.00019077672295627536,0.0028407701071873795,0.09695880294260492,0.09960879632683581,0.13384278785603163,0.16701396311368577
fullgrid_formal_20260817,15,9,186,8,1.6302904969943801,False,0.00038235828993090894,0.0016130762006552825,0.0271340105094419,0.028364728420166272,0.027403788752603523,0.039275254787225954
fullgrid_formal_20260817,15,1,207,1,20.68119384819709,True,0.9865773242089336,0.9806580086732001,0.006834532359623894,0.0009152168238898543,0.014295473210108966,0.018040950280044394
fullgrid_formal_20260817,15,1,207,2,19.132471849594936,True,0.9898269759608161,0.8973038011672745,0.09343094853682771,0.0009077737432871455,0.10554517527038917,0.11243181503526511
fullgrid_formal_20260817,15,1,207,3,13.533163548947151,True,0.9749255619087294,0.8759298371016633,0.10560324443129998,0.0066075196242347855,0.15768812462549417,0.1377388727890996
fullgrid_formal_20260817,15,1,207,4,6.424243915400214,True,0.9742661681475777,0.9675941526402185,0.011541764914181836,0.004869749406823162,0.01382280417788487,0.007803290330863978
fullgrid_formal_20260817,15,1,207,5,4.355406324953258,True,0.010140411250389635,0.10261170700958941,0.6618462530040207,0.7543175487632203,0.8967733907062625,0.9130369694251639
fullgrid_formal_20260817,15,1,207,6,2.181597552438385,True,0.005132905471870765,0.022142490390444775,0.5953095716966277,0.612319156615201,0.8578739720857544,0.8807456901586692
fullgrid_formal_20260817,15,1,207,7,0.9256466090361961,False,0.00010931767854073564,0.0021356727589580448,0.05492473517138839,0.056951090251805524,0.05714787592270949,0.04510057491938626
fullgrid_formal_20260817,15,1,207,8,0.8621853359699768,False,0.0014464767548615465,0.0015025046223218364,0.006888442782135295,0.00694447064959559,0.01741396148469257,0.01227698880253802
fullgrid_formal_20260817,15,2,207,1,24.668055883750466,True,0.9901182941385585,0.9827688674637169,0.007512763154380342,0.00016333647953911323,0.014270457282654764,0.017543726811436133
fullgrid_formal_20260817,15,2,207,2,17.053871580573915,True,0.9793657861713401,0.847069092607188,0.1423792270996751,0.010082533535523405,0.1915003794321334,0.17564554502512467
fullgrid_formal_20260817,15,2,207,3,7.703445664346954,True,0.9653640468442055,0.9504788068857565,0.028180136738060954,0.013294896779612276,0.02891841665971059,0.017925623740067568
fullgrid_formal_20260817,15,2,207,4,5.314179326434849,True,0.024023561317570122,0.12874358032614974,0.6449134077539606,0.7496334267625399,0.9000385239427263,0.9090451577479703
fullgrid_formal_20260817,15,2,207,5,2.6234784691601942,True,0.003460565458153379,0.02239025428028441,0.610919464540543,0.6298491533626733,0.8876344526486539,0.9023216924676202
fullgrid_formal_20260817,15,2,207,6,0.9951450315837258,False,0.0007913989733794027,0.0016059894651769774,0.05754277315695726,0.05835736364875472,0.07181830519379143,0.06725346740754287
fullgrid_formal_20260817,15,2,207,7,0.948906340932475,False,0.001902513943594498,0.003193819424414499,0.003998211864599097,0.0052895173454190845,0.019630976329590693,0.016432159903532025
fullgrid_formal_20260817,15,2,207,8,0.9218787597212698,False,0.001881771231331573,0.004908930360799644,0.03400564890769333,0.03703280803716126,0.03400584588684703,0.028490099745936005
fullgrid_formal_20260817,15,4,207,1,11.296903755338716,True,0.962221030546583,0.9506648935808586,0.02391379687860755,0.012357659912883708,0.038628239568528296,0.03663221056271457
