replication,r_used,mean,n_valid_origins,n_total_origins,metric,series
6,6,0.20701786325053123,25,25,U4_Q_C_capture,mechanism_cell
6,7,0.03687270187917468,25,25,U4_Q_C_capture,mechanism_cell
6,8,0.02403259999618235,25,25,U4_Q_C_capture,mechanism_cell
6,9,0.02424460910922719,25,25,U4_Q_C_capture,mechanism_cell
7,1,0.01488105390899872,25,25,U4_Q_C_capture,mechanism_cell
7,2,0.26230780331803627,25,25,U4_Q_C_capture,mechanism_cell
7,3,0.43371780402760124,25,25,U4_Q_C_capture,mechanism_cell
7,4,0.46697972833793516,25,25,U4_Q_C_capture,mechanism_cell
7,5,0.5222120915749185,25,25,U4_Q_C_capture,mechanism_cell
7,6,0.2579695656542308,25,25,U4_Q_C_capture,mechanism_cell
7,7,0.09553178882907618,25,25,U4_Q_C_capture,mechanism_cell
7,8,0.10172687007579233,25,25,U4_Q_C_capture,mechanism_cell
7,9,0.08991931353005611,25,25,U4_Q_C_capture,mechanism_cell
8,1,0.06809385153605542,25,25,U4_Q_C_capture,mechanism_cell
8,2,0.2980680202141677,25,25,U4_Q_C_capture,mechanism_cell
8,3,0.40538264504757515,25,25,U4_Q_C_capture,mechanism_cell
8,4,0.46496771591170544,25,25,U4_Q_C_capture,mechanism_cell
8,5,0.4821841233599693,25,25,U4_Q_C_capture,mechanism_cell
8,6,0.22941580899592115,25,25,U4_Q_C_capture,mechanism_cell
8,7,0.09235520704642956,25,25,U4_Q_C_capture,mechanism_cell
8,8,0.07711215458277527,25,25,U4_Q_C_capture,mechanism_cell
8,9,0.06401618785405706,25,25,U4_Q_C_capture,mechanism_cell
9,1,0.032079899487313566,25,25,U4_Q_C_capture,mechanism_cell
9,2,0.2689749592619077,25,25,U4_Q_C_capture,mechanism_cell
9,3,0.4200389898960997,25,25,U4_Q_C_capture,mechanism_cell
9,4,0.5172071990479011,25,25,U4_Q_C_capture,mechanism_cell
9,5,0.5598272426038511,25,25,U4_Q_C_capture,mechanism_cell
9,6,0.267343553617304,25,25,U4_Q_C_capture,mechanism_cell
9,7,0.11422251881716203,25,25,U4_Q_C_capture,mechanism_cell
9,8,0.07470167919879347,25,25,U4_Q_C_capture,mechanism_cell
9,9,0.04968460540674517,25,25,U4_Q_C_capture,mechanism_cell
10,1,0.06255653530114805,25,25,U4_Q_C_capture,mechanism_cell
